Epoch,az_earth,el_earth,ra_earth,dec_earth,az_sun,el_sun,ra_sun,dec_sun,expected_lexi_ra,expected_lexi_dec
2025-03-02 08:01:00+00:00,258.389363215049,25.6993275655454,191.423074795017,-6.62022994297063,91.5512896221835,3.16391372178723,342.999211066256,-7.22787004899462,201.160672884091,-11.0741536336717
2025-03-02 08:02:00+00:00,258.387693707745,25.6999149010277,191.432239765949,-6.62507630555406,91.5539776517098,3.17195006026319,342.99984296609,-7.22761462670986,201.170017665693,-11.0788876017479
2025-03-02 08:03:00+00:00,258.386024260025,25.7005022177107,191.44140488166,-6.62992248521679,91.5566657316583,3.17998638719323,343.000474866748,-7.22735920280642,201.179362757505,-11.0836211692479
2025-03-02 08:04:00+00:00,258.384354871948,25.7010895155797,191.450570142241,-6.63476848181345,91.5593538621352,3.18802270255865,343.001106768231,-7.22710377728405,201.188708159568,-11.0883543361
2025-03-02 08:05:00+00:00,258.382685543508,25.7016767947655,191.459735547783,-6.63961429519876,91.5620420431967,3.19605900619249,343.00173867054,-7.22684835014252,201.198053871922,-11.0930871022331
2025-03-02 08:06:00+00:00,258.381016274784,25.7022640552047,191.468901098376,-6.64445992522732,91.5647302749656,3.20409529812543,343.002370573675,-7.22659292138159,201.207399894608,-11.0978194675752
2025-03-02 08:07:00+00:00,258.3793470659,25.7028512967373,191.478066794112,-6.64930537175359,91.5674185575982,3.21213157848686,343.003002477636,-7.22633749100104,201.216746227666,-11.1025514320547
2025-03-02 08:08:00+00:00,258.377677916891,25.703438519397,191.48723263508,-6.65415063463224,91.570106891184,3.22016784720865,343.003634382425,-7.22608205900063,201.226092871137,-11.1072829955996
2025-03-02 08:09:00+00:00,258.376008827709,25.7040257234116,191.496398621372,-6.65899571371814,91.5727952757458,3.22820410402513,343.004266288041,-7.22582662538011,201.23543982506,-11.1120141581384
2025-03-02 08:10:00+00:00,258.374339798563,25.7046129084268,191.505564753077,-6.66384060886556,91.5754837115065,3.23624034926324,343.004898194484,-7.22557119013927,201.244787089476,-11.1167449195986
2025-03-02 08:11:00+00:00,258.372670829383,25.705200074719,191.514731030287,-6.66868531992944,91.5781721984723,3.2442765826079,343.005530101756,-7.22531575327785,201.254134664426,-11.1214752799085
2025-03-02 08:12:00+00:00,258.371001920354,25.7057872219826,191.523897453092,-6.67352984676411,91.5808607368495,3.25231280433669,343.006162009857,-7.22506031479564,201.263482549949,-11.1262052389956
2025-03-02 08:13:00+00:00,258.369333071407,25.7063743504937,191.533064021583,-6.6783741892245,91.5835493266444,3.26034901413453,343.006793918788,-7.22480487469239,201.272830746087,-11.1309347967878
2025-03-02 08:14:00+00:00,258.367664282708,25.7069614599952,191.54223073585,-6.68321834716499,91.5862379680464,3.26838521222959,343.007425828548,-7.22454943296788,201.28217925288,-11.1356639532126
2025-03-02 08:15:00+00:00,258.365995554228,25.7075485506665,191.551397595984,-6.68806232044044,91.5889266610951,3.27642139840557,343.008057739138,-7.22429398962186,201.291528070368,-11.1403927081977
