epoch_utc,epoch_mjd,az_mag,el_mag,ra_mag,dec_mag
Mar 08 2025 14:34:00.000000000,60742.6073726852,245.437729002282,39.0487378578585,295.039119635734,-26.2024668436809
Mar 08 2025 14:35:00.000000000,60742.6080671296,245.438212354911,39.0490306628039,295.049124059354,-26.2005560309523
Mar 08 2025 14:36:00.000000000,60742.6087615741,245.438695977809,39.0493234195022,295.059128015018,-26.1986445468709
Mar 08 2025 14:37:00.000000000,60742.6094560185,245.439179870921,39.0496161279915,295.069131502668,-26.1967323915444
Mar 08 2025 14:38:00.000000000,60742.610150463,245.439664034159,39.0499087883549,295.079134522248,-26.1948195650803
Mar 08 2025 14:39:00.000000000,60742.6108449074,245.440148467501,39.0502014005854,295.0891370737,-26.1929060675863
Mar 08 2025 14:40:00.000000000,60742.6115393518,245.440633170958,39.0504939646309,295.099139156966,-26.1909918991699
Mar 08 2025 14:41:00.000000000,60742.6122337963,245.441118144541,39.0507864804394,295.109140771991,-26.1890770599388
Mar 08 2025 14:42:00.000000000,60742.6129282407,245.441603388163,39.0510789480938,295.119141918717,-26.1871615500008
Mar 08 2025 14:43:00.000000000,60742.6136226852,245.442088901834,39.0513713675424,295.129142597086,-26.1852453694633
Mar 08 2025 14:44:00.000000000,60742.6143171296,245.442574685499,39.0516637388228,295.139142807044,-26.1833285184342
Mar 08 2025 14:45:00.000000000,60742.6150115741,245.443060739202,39.0519560618383,295.149142548531,-26.1814109970211
Mar 08 2025 14:46:00.000000000,60742.6157060185,245.443547062856,39.0522483366717,295.159141821493,-26.1794928053317
Mar 08 2025 14:47:00.000000000,60742.616400463,245.444033656471,39.0525405632711,295.169140625872,-26.1775739434737
Mar 08 2025 14:48:00.000000000,60742.6170949074,245.44452052006,39.0528327415844,295.179138961611,-26.1756544115549
Mar 08 2025 14:49:00.000000000,60742.6177893519,245.445007653499,39.0531248717398,295.189136828654,-26.1737342096828
Mar 08 2025 14:50:00.000000000,60742.6184837963,245.445495056901,39.05341695355,295.199134226944,-26.1718133379654
Mar 08 2025 14:51:00.000000000,60742.6191782407,245.445982730109,39.0537089871881,295.209131156426,-26.1698917965103
Mar 08 2025 14:52:00.000000000,60742.6198726852,245.446470673169,39.0540009725572,295.219127617043,-26.1679695854252
Mar 08 2025 14:53:00.000000000,60742.6205671296,245.446958886059,39.0542929096501,295.229123608737,-26.1660467048181
Mar 08 2025 14:54:00.000000000,60742.6212615741,245.447447368857,39.0545847983247,295.239119131454,-26.1641231547965
Mar 08 2025 14:55:00.000000000,60742.6219560185,245.447936121306,39.0548766388894,295.249114185137,-26.1621989354684
Mar 08 2025 14:56:00.000000000,60742.622650463,245.44842514362,39.0551684310218,295.259108769729,-26.1602740469415
Mar 08 2025 14:57:00.000000000,60742.6233449074,245.448914435509,39.0554601750752,295.269102885175,-26.1583484893236
Mar 08 2025 14:58:00.000000000,60742.6240393519,245.449403997217,39.0557518706822,295.279096531419,-26.1564222627226
Mar 08 2025 14:59:00.000000000,60742.6247337963,245.449893828623,39.0560435179711,295.289089708404,-26.1544953672462
Mar 08 2025 15:00:00.000000000,60742.6254282407,245.450383929771,39.0563351168445,295.299082416075,-26.1525678030024
Mar 08 2025 15:01:00.000000000,60742.6261226852,245.450874300439,39.056626667566,295.309074654376,-26.1506395700989
Mar 08 2025 15:02:00.000000000,60742.6268171296,245.451364940772,39.0569181699031,295.31906642325,-26.1487106686436
Mar 08 2025 15:03:00.000000000,60742.6275115741,245.451855850781,39.0572096238038,295.329057722643,-26.1467810987444
Mar 08 2025 15:04:00.000000000,60742.6282060185,245.452347030211,39.0575010295764,295.339048552499,-26.1448508605091
Mar 08 2025 15:05:00.000000000,60742.628900463,245.452838479373,39.0577923867633,295.349038912762,-26.1429199540458
Mar 08 2025 15:06:00.000000000,60742.6295949074,245.453330197979,39.0580836957181,295.359028803376,-26.1409883794621
Mar 08 2025 15:07:00.000000000,60742.6302893518,245.453822186172,39.0583749562084,295.369018224285,-26.1390561368662
Mar 08 2025 15:08:00.000000000,60742.6309837963,245.454314443865,39.0586661683173,295.379007175435,-26.1371232263658
Mar 08 2025 15:09:00.000000000,60742.6316782407,245.454806970968,39.0589573321278,295.38899565677,-26.135189648069
Mar 08 2025 15:10:00.000000000,60742.6323726852,245.455299767559,39.0592484474978,295.398983668235,-26.1332554020836
Mar 08 2025 15:11:00.000000000,60742.6330671296,245.455792833517,39.0595395145553,295.408971209774,-26.1313204885176
Mar 08 2025 15:12:00.000000000,60742.6337615741,245.456286168985,39.0598305330682,295.418958281332,-26.1293849074789
Mar 08 2025 15:13:00.000000000,60742.6344560185,245.456779773776,39.0601215032546,295.428944882855,-26.1274486590756
Mar 08 2025 15:14:00.000000000,60742.635150463,245.457273647967,39.0604124249725,295.438931014285,-26.1255117434156
Mar 08 2025 15:15:00.000000000,60742.6358449074,245.457767791435,39.0607032983498,295.44891667557,-26.1235741606069
Mar 08 2025 15:16:00.000000000,60742.6365393518,245.458262204293,39.0609941231993,295.458901866653,-26.1216359107575
Mar 08 2025 15:17:00.000000000,60742.6372337963,245.458756886451,39.0612848996043,295.468886587481,-26.1196969939755
Mar 08 2025 15:18:00.000000000,60742.6379282407,245.459251837821,39.0615756276475,295.478870837997,-26.1177574103687
Mar 08 2025 15:19:00.000000000,60742.6386226852,245.459747058447,39.061866307232,295.488854618147,-26.1158171600453
Mar 08 2025 15:20:00.000000000,60742.6393171296,245.460242548373,39.0621569382607,295.498837927876,-26.1138762431133
Mar 08 2025 15:21:00.000000000,60742.6400115741,245.460738307478,39.0624475208616,295.50882076713,-26.1119346596808
Mar 08 2025 15:22:00.000000000,60742.6407060185,245.461234335772,39.0627380549827,295.518803135854,-26.1099924098557
Mar 08 2025 15:23:00.000000000,60742.641400463,245.461730633201,39.063028540662,295.528785033993,-26.1080494937462
Mar 08 2025 15:24:00.000000000,60742.6420949074,245.462227199809,39.0633189778023,295.538766461493,-26.1061059114604
Mar 08 2025 15:25:00.000000000,60742.6427893518,245.462724035573,39.0636093663966,295.548747418299,-26.1041616631063
Mar 08 2025 15:26:00.000000000,60742.6434837963,245.463221140338,39.0638997066181,295.558727904357,-26.1022167487921
Mar 08 2025 15:27:00.000000000,60742.6441782407,245.463718514249,39.0641899982345,295.568707919612,-26.1002711686258
Mar 08 2025 15:28:00.000000000,60742.6448726852,245.464216157217,39.0644802413288,295.578687464011,-26.0983249227156
Mar 08 2025 15:29:00.000000000,60742.6455671296,245.464714069186,39.0647704359391,295.588666537498,-26.0963780111695
Mar 08 2025 15:30:00.000000000,60742.6462615741,245.465212250134,39.0650605820583,295.598645140021,-26.0944304340958
Mar 08 2025 15:31:00.000000000,60742.6469560185,245.465710700139,39.0653506795442,295.608623271523,-26.0924821916026
Mar 08 2025 15:32:00.000000000,60742.647650463,245.466209419079,39.0656407285251,295.618600931952,-26.090533283798
Mar 08 2025 15:33:00.000000000,60742.6483449074,245.466708406997,39.0659307289035,295.628578121253,-26.0885837107902
Mar 08 2025 15:34:00.000000000,60742.6490393519,245.46720766384,39.0662206807177,295.638554839373,-26.0866334726874
Mar 08 2025 15:35:00.000000000,60742.6497337963,245.467707189584,39.0665105839606,295.648531086257,-26.0846825695978
Mar 08 2025 15:36:00.000000000,60742.6504282407,245.46820698414,39.0668004387152,295.658506861852,-26.0827310016295
Mar 08 2025 15:37:00.000000000,60742.6511226852,245.46870704762,39.0670902447943,295.668482166103,-26.0807787688908
Mar 08 2025 15:38:00.000000000,60742.6518171296,245.469207379869,39.067380002371,295.678456998958,-26.0788258714898
Mar 08 2025 15:39:00.000000000,60742.6525115741,245.469707980996,39.0676697112581,295.688431360362,-26.0768723095349
Mar 08 2025 15:40:00.000000000,60742.6532060185,245.470208850881,39.0679593715837,295.698405250262,-26.0749180831342
Mar 08 2025 15:41:00.000000000,60742.653900463,245.470709989533,39.0682489832957,295.708378668603,-26.072963192396
Mar 08 2025 15:42:00.000000000,60742.6545949074,245.471211396932,39.0685385463871,295.718351615334,-26.0710076374286
Mar 08 2025 15:43:00.000000000,60742.6552893518,245.471713073087,39.0688280608057,295.728324090399,-26.0690514183401
Mar 08 2025 15:44:00.000000000,60742.6559837963,245.472215017877,39.0691175266797,295.738296093747,-26.0670945352389
Mar 08 2025 15:45:00.000000000,60742.6566782407,245.472717231413,39.0694069438218,295.748267625323,-26.0651369882333
Mar 08 2025 15:46:00.000000000,60742.6573726852,245.473219713573,39.0696963123601,295.758238685074,-26.0631787774316
Mar 08 2025 15:47:00.000000000,60742.6580671296,245.473722464367,39.0699856322425,295.768209272946,-26.0612199029419
Mar 08 2025 15:48:00.000000000,60742.6587615741,245.474225483806,39.0702749034169,295.778179388888,-26.0592603648728
Mar 08 2025 15:49:00.000000000,60742.6594560185,245.474728771836,39.0705641259214,295.788149032845,-26.0573001633324
Mar 08 2025 15:50:00.000000000,60742.660150463,245.475232328334,39.0708532998839,295.798118204765,-26.0553392984292
Mar 08 2025 15:51:00.000000000,60742.6608449074,245.475736153477,39.0711424250272,295.808086904593,-26.0533777702714
Mar 08 2025 15:52:00.000000000,60742.6615393518,245.476240247109,39.0714315015244,295.818055132279,-26.0514155789674
Mar 08 2025 15:53:00.000000000,60742.6622337963,245.476744609243,39.0717205293234,295.828022887768,-26.0494527246255
Mar 08 2025 15:54:00.000000000,60742.6629282407,245.477249239889,39.0720095083722,295.837990171008,-26.0474892073543
Mar 08 2025 15:55:00.000000000,60742.6636226852,245.47775413899,39.0722984387086,295.847956981946,-26.0455250272619
Mar 08 2025 15:56:00.000000000,60742.6643171296,245.47825930646,39.0725873204158,295.85792332053,-26.0435601844568
Mar 08 2025 15:57:00.000000000,60742.6650115741,245.47876474234,39.0728761533964,295.867889186706,-26.0415946790474
Mar 08 2025 15:58:00.000000000,60742.6657060185,245.479270446744,39.0731649374635,295.877854580422,-26.0396285111421
Mar 08 2025 15:59:00.000000000,60742.666400463,245.479776419414,39.0734536729252,295.887819501625,-26.0376616808493
Mar 08 2025 16:00:00.000000000,60742.6670949074,245.480282660463,39.0737423595942,295.897783950264,-26.0356941882775
Mar 08 2025 16:01:00.000000000,60742.6677893518,245.4807891698,39.0740309975536,295.907747926285,-26.033726033535
Mar 08 2025 16:02:00.000000000,60742.6684837963,245.481295947505,39.0743195866613,295.917711429636,-26.0317572167304
Mar 08 2025 16:03:00.000000000,60742.6691782407,245.481802993386,39.0746081271352,295.927674460265,-26.029787737972
Mar 08 2025 16:04:00.000000000,60742.6698726852,245.482310307557,39.0748966187884,295.93763701812,-26.0278175973683
Mar 08 2025 16:05:00.000000000,60742.6705671296,245.482817889993,39.0751850616135,295.947599103148,-26.0258467950279
Mar 08 2025 16:06:00.000000000,60742.6712615741,245.483325740607,39.0754734556938,295.957560715297,-26.0238753310591
Mar 08 2025 16:07:00.000000000,60742.6719560185,245.483833859443,39.0757618009321,295.967521854515,-26.0219032055705
Mar 08 2025 16:08:00.000000000,60742.672650463,245.484342246411,39.0760500974113,295.977482520751,-26.0199304186706
Mar 08 2025 16:09:00.000000000,60742.6733449074,245.484850901556,39.0763383450342,295.987442713951,-26.0179569704679
Mar 08 2025 16:10:00.000000000,60742.6740393519,245.485359824822,39.076626543839,295.997402434065,-26.0159828610709
Mar 08 2025 16:11:00.000000000,60742.6747337963,245.485869016186,39.0769146938185,296.00736168104,-26.0140080905881
Mar 08 2025 16:12:00.000000000,60742.6754282407,245.48637847566,39.0772027949206,296.017320454824,-26.0120326591281
Mar 08 2025 16:13:00.000000000,60742.6761226852,245.486888203155,39.0774908472285,296.027278755366,-26.0100565667994
Mar 08 2025 16:14:00.000000000,60742.6768171296,245.487398198648,39.0777788507348,296.037236582614,-26.0080798137106
Mar 08 2025 16:15:00.000000000,60742.6775115741,245.487908462217,39.0780668052975,296.047193936516,-26.0061023999702
Mar 08 2025 16:16:00.000000000,60742.6782060185,245.488418993739,39.0783547110447,296.057150817021,-26.0041243256868
Mar 08 2025 16:17:00.000000000,60742.678900463,245.488929793259,39.0786425678791,296.067107224078,-26.002145590969
Mar 08 2025 16:18:00.000000000,60742.6795949074,245.48944086072,39.0789303758388,296.077063157634,-26.0001661959253
Mar 08 2025 16:19:00.000000000,60742.6802893519,245.489952196035,39.0792181350068,296.087018617639,-25.9981861406645
Mar 08 2025 16:20:00.000000000,60742.6809837963,245.490463799312,39.0795058451958,296.09697360404,-25.996205425295
Mar 08 2025 16:21:00.000000000,60742.6816782407,245.490975670432,39.0797935065339,296.106928116788,-25.9942240499256
Mar 08 2025 16:22:00.000000000,60742.6823726852,245.491487809503,39.0800811188338,296.116882155829,-25.9922420146648
Mar 08 2025 16:23:00.000000000,60742.6830671296,245.492000216237,39.0803686824489,296.126835721114,-25.9902593196212
Mar 08 2025 16:24:00.000000000,60742.6837615741,245.492512890945,39.0806561969215,296.136788812591,-25.9882759649036
Mar 08 2025 16:25:00.000000000,60742.6844560185,245.493025833405,39.080943662515,296.146741430209,-25.9862919506206
Mar 08 2025 16:26:00.000000000,60742.685150463,245.49353904356,39.0812310792673,296.156693573918,-25.9843072768808
Mar 08 2025 16:27:00.000000000,60742.6858449074,245.494052521489,39.081518447036,296.166645243665,-25.9823219437929
Mar 08 2025 16:28:00.000000000,60742.6865393518,245.494566267168,39.0818057658143,296.1765964394,-25.9803359514656
Mar 08 2025 16:29:00.000000000,60742.6872337963,245.495080280542,39.08209303564,296.186547161073,-25.9783493000076
Mar 08 2025 16:30:00.000000000,60742.6879282407,245.495594561521,39.0823802565963,296.196497408633,-25.9763619895277
Mar 08 2025 16:31:00.000000000,60742.6886226852,245.496109110217,39.0826674284956,296.206447182028,-25.9743740201344
Mar 08 2025 16:32:00.000000000,60742.6893171296,245.496623926508,39.0829545514663,296.216396481208,-25.9723853919365
Mar 08 2025 16:33:00.000000000,60742.6900115741,245.49713901047,39.083241625366,296.226345306122,-25.9703961050428
Mar 08 2025 16:34:00.000000000,60742.6907060185,245.497654361981,39.0835286503229,296.236293656721,-25.9684061595619
Mar 08 2025 16:35:00.000000000,60742.691400463,245.498169981085,39.0838156262397,296.246241532953,-25.9664155556027
Mar 08 2025 16:36:00.000000000,60742.6920949074,245.498685867693,39.0841025531994,296.256188934768,-25.9644242932739
Mar 08 2025 16:37:00.000000000,60742.6927893518,245.49920202175,39.08438943124,296.266135862116,-25.9624323726842
Mar 08 2025 16:38:00.000000000,60742.6934837963,245.499718443465,39.0846762600392,296.276082314946,-25.9604397939425
Mar 08 2025 16:39:00.000000000,60742.6941782407,245.500235132551,39.0849630399501,296.286028293208,-25.9584465571574
Mar 08 2025 16:40:00.000000000,60742.6948726852,245.500752089117,39.0852497707855,296.295973796851,-25.9564526624379
