sep=,
"_time","DERIVED_LEXI_DEC_J2000_rad","DERIVED_LEXI_RA_J2000_rad"
2025-03-04 00:10:29,-21.3 °,-135 °
2025-03-04 00:10:49,-21.3 °,-135 °
2025-03-04 00:11:09,-21.3 °,-135 °
2025-03-04 00:11:29,-21.3 °,-135 °
2025-03-04 00:11:49,-21.3 °,-135 °
2025-03-04 00:12:12,-21.3 °,-135 °
2025-03-04 00:12:32,-21.3 °,-135 °
2025-03-04 00:12:52,-21.3 °,-135 °
2025-03-04 00:13:12,-21.3 °,-135 °
2025-03-04 00:13:32,-21.3 °,-135 °
2025-03-04 00:13:52,-21.3 °,-135 °
2025-03-04 00:14:12,-21.3 °,-135 °
2025-03-04 00:14:32,-21.3 °,-135 °
2025-03-04 00:14:54,-21.3 °,-135 °
2025-03-04 00:15:14,-21.3 °,-135 °
2025-03-04 00:15:34,-21.3 °,-135 °
2025-03-04 00:15:54,-21.3 °,-135 °
2025-03-04 00:16:14,-21.3 °,-135 °
2025-03-04 00:16:34,-21.3 °,-135 °
2025-03-04 00:38:02,-21.4 °,-135 °
2025-03-04 00:38:42,-21.4 °,-135 °
2025-03-04 00:39:02,-21.4 °,-135 °
2025-03-04 00:39:42,-21.4 °,-135 °
2025-03-04 00:40:02,-21.4 °,-135 °
2025-03-04 00:40:22,-21.4 °,-135 °
2025-03-04 00:40:42,-21.4 °,-135 °
2025-03-04 00:41:04,-21.4 °,-135 °
2025-03-04 00:41:22,-21.4 °,-135 °
2025-03-04 00:41:44,-21.4 °,-135 °
2025-03-04 00:42:04,-21.4 °,-135 °
2025-03-04 00:42:24,-21.4 °,-135 °
2025-03-04 00:42:44,-21.4 °,-135 °
2025-03-04 00:43:04,-21.4 °,-135 °
2025-03-04 00:43:24,-21.4 °,-135 °
2025-03-04 00:43:44,-21.4 °,-135 °
2025-03-04 00:44:04,-21.4 °,-135 °
2025-03-04 00:44:26,-21.4 °,-135 °
2025-03-04 00:44:45,-21.4 °,-135 °
2025-03-04 00:45:06,-21.4 °,-135 °
2025-03-04 00:45:24,-21.4 °,-135 °
2025-03-04 00:45:44,-21.4 °,-135 °
2025-03-04 00:46:04,-21.4 °,-135 °
2025-03-04 00:46:24,-21.4 °,-135 °
2025-03-04 00:46:44,-21.4 °,-135 °
2025-03-04 00:47:07,-21.4 °,-135 °
2025-03-04 00:47:27,-21.4 °,-135 °
2025-03-04 00:47:47,-21.4 °,-135 °
2025-03-04 00:48:07,-21.4 °,-135 °
2025-03-04 00:48:27,-21.4 °,-135 °
2025-03-04 00:48:47,-21.4 °,-135 °
2025-03-04 00:49:09,-21.4 °,-135 °
2025-03-04 00:49:29,-21.4 °,-135 °
2025-03-04 00:49:49,-21.4 °,-135 °
2025-03-04 00:50:09,-21.4 °,-135 °
2025-03-04 00:50:32,-21.4 °,-135 °
2025-03-04 00:50:52,-21.4 °,-135 °
2025-03-04 00:51:12,-21.4 °,-135 °
2025-03-04 00:51:32,-21.4 °,-135 °
2025-03-04 00:51:52,-21.4 °,-135 °
2025-03-04 00:52:12,-21.4 °,-135 °
2025-03-04 00:52:32,-21.4 °,-135 °
2025-03-04 00:52:52,-21.4 °,-135 °
2025-03-04 00:53:12,-21.4 °,-135 °
2025-03-04 00:53:32,-21.4 °,-135 °
2025-03-04 00:53:54,-21.4 °,-135 °
2025-03-04 00:54:14,-21.4 °,-135 °
2025-03-04 00:54:34,-21.4 °,-135 °
2025-03-04 00:54:54,-21.4 °,-135 °
2025-03-04 00:55:14,-21.4 °,-135 °
2025-03-04 00:55:34,-21.4 °,-135 °
2025-03-04 00:55:54,-21.4 °,-135 °
2025-03-04 00:56:14,-21.4 °,-135 °
2025-03-04 00:56:34,-21.4 °,-135 °
2025-03-04 00:56:54,-21.4 °,-135 °
2025-03-04 00:57:14,-21.4 °,-135 °
2025-03-04 00:57:34,-21.4 °,-135 °
2025-03-04 00:57:54,-21.4 °,-135 °
2025-03-04 00:58:14,-21.4 °,-135 °
2025-03-04 00:58:34,-21.4 °,-135 °
2025-03-04 00:58:54,-21.4 °,-135 °
2025-03-04 00:59:14,-21.4 °,-135 °
2025-03-04 00:59:37,-21.4 °,-135 °
2025-03-04 00:59:57,-21.4 °,-135 °
2025-03-04 01:00:17,-21.4 °,-135 °
2025-03-04 01:00:37,-21.4 °,-135 °
2025-03-04 01:00:59,-21.4 °,-135 °
2025-03-04 01:01:17,-21.5 °,-135 °
2025-03-04 01:01:39,-21.5 °,-135 °
2025-03-04 01:01:59,-21.5 °,-135 °
2025-03-04 01:02:19,-21.5 °,-135 °
2025-03-04 01:02:39,-21.5 °,-135 °
2025-03-04 01:02:59,-21.5 °,-135 °
2025-03-04 01:03:19,-21.5 °,-135 °
2025-03-04 01:03:42,-21.5 °,-135 °
2025-03-04 01:03:59,-21.5 °,-135 °
2025-03-04 01:04:19,-21.5 °,-135 °
2025-03-04 01:04:42,-21.5 °,-135 °
2025-03-04 01:05:02,-21.5 °,-135 °
2025-03-04 01:29:09,-21.6 °,-134 °
2025-03-04 01:29:29,-21.6 °,-134 °
2025-03-04 01:29:49,-21.6 °,-134 °
2025-03-04 01:30:10,-21.6 °,-134 °
2025-03-04 01:30:30,-21.6 °,-134 °
2025-03-04 01:30:50,-21.6 °,-134 °
2025-03-04 01:31:10,-21.6 °,-134 °
2025-03-04 01:31:52,-21.6 °,-134 °
2025-03-04 01:32:12,-21.6 °,-134 °
2025-03-04 01:32:32,-21.6 °,-134 °
2025-03-04 01:32:52,-21.6 °,-134 °
2025-03-04 01:33:12,-21.6 °,-134 °
2025-03-04 01:33:32,-21.6 °,-134 °
2025-03-04 01:33:52,-21.6 °,-134 °
2025-03-04 01:34:12,-21.6 °,-134 °
2025-03-04 01:34:34,-21.6 °,-134 °
2025-03-04 01:34:54,-21.6 °,-134 °
2025-03-04 01:35:14,-21.6 °,-134 °
2025-03-04 01:35:34,-21.6 °,-134 °
2025-03-04 01:35:54,-21.6 °,-134 °
2025-03-04 01:36:14,-21.6 °,-134 °
2025-03-04 01:36:34,-21.6 °,-134 °
