sep=,
"_time","DERIVED_LEXI_DEC_J2000_rad","DERIVED_LEXI_RA_J2000_rad"
2025-03-06 21:00:05,-28.8 °,-91.0 °
2025-03-06 21:00:25,-28.8 °,-91.0 °
2025-03-06 21:00:45,-28.8 °,-91.0 °
2025-03-06 21:01:05,-28.8 °,-91.0 °
2025-03-06 21:01:25,-28.8 °,-91.0 °
2025-03-06 21:01:45,-28.8 °,-91.0 °
2025-03-06 21:02:05,-28.8 °,-91.0 °
2025-03-06 21:02:25,-28.8 °,-91.0 °
2025-03-06 21:02:45,-28.8 °,-91.0 °
2025-03-06 21:03:05,-28.8 °,-91.0 °
2025-03-06 21:03:25,-28.8 °,-91.0 °
2025-03-06 21:03:45,-28.8 °,-91.0 °
2025-03-06 21:04:05,-28.8 °,-90.9 °
2025-03-06 21:04:25,-28.8 °,-90.9 °
2025-03-06 21:04:45,-28.8 °,-90.9 °
2025-03-06 21:05:05,-28.8 °,-90.9 °
2025-03-06 21:05:25,-28.8 °,-90.9 °
2025-03-06 21:05:45,-28.8 °,-90.9 °
2025-03-06 21:06:05,-28.8 °,-90.9 °
2025-03-06 21:06:25,-28.8 °,-90.9 °
2025-03-06 21:06:45,-28.8 °,-90.9 °
2025-03-06 21:07:05,-28.8 °,-90.9 °
2025-03-06 21:07:33,-28.8 °,-90.9 °
2025-03-06 21:07:53,-28.8 °,-90.9 °
2025-03-06 21:08:13,-28.8 °,-90.9 °
2025-03-06 21:08:33,-28.8 °,-90.9 °
2025-03-06 21:08:55,-28.8 °,-90.9 °
2025-03-06 21:09:15,-28.8 °,-90.9 °
2025-03-06 21:09:35,-28.8 °,-90.9 °
2025-03-06 21:09:55,-28.8 °,-90.9 °
2025-03-06 21:10:15,-28.8 °,-90.9 °
2025-03-06 21:10:35,-28.8 °,-90.9 °
2025-03-06 21:10:55,-28.8 °,-90.9 °
2025-03-06 21:11:15,-28.8 °,-90.9 °
2025-03-06 21:11:35,-28.8 °,-90.9 °
2025-03-06 21:11:55,-28.8 °,-90.9 °
2025-03-06 21:12:15,-28.8 °,-90.9 °
2025-03-06 21:12:35,-28.8 °,-90.9 °
2025-03-06 21:12:55,-28.8 °,-90.9 °
2025-03-06 21:13:15,-28.8 °,-90.8 °
2025-03-06 21:13:35,-28.8 °,-90.8 °
2025-03-06 21:13:55,-28.8 °,-90.8 °
2025-03-06 21:14:15,-28.8 °,-90.8 °
2025-03-06 21:14:35,-28.8 °,-90.8 °
2025-03-06 21:14:55,-28.8 °,-90.8 °
2025-03-06 21:15:15,-28.8 °,-90.8 °
2025-03-06 21:15:35,-28.8 °,-90.8 °
2025-03-06 21:15:55,-28.8 °,-90.8 °
2025-03-06 21:16:15,-28.8 °,-90.8 °
2025-03-06 21:16:35,-28.8 °,-90.8 °
2025-03-06 21:16:55,-28.8 °,-90.8 °
2025-03-06 21:17:15,-28.8 °,-90.8 °
2025-03-06 21:17:43,-28.8 °,-90.8 °
2025-03-06 21:18:03,-28.8 °,-90.8 °
2025-03-06 21:18:23,-28.8 °,-90.8 °
2025-03-06 21:18:43,-28.8 °,-90.8 °
2025-03-06 21:19:03,-28.8 °,-90.8 °
2025-03-06 21:19:23,-28.8 °,-90.8 °
2025-03-06 21:19:45,-28.8 °,-90.8 °
2025-03-06 21:20:05,-28.8 °,-90.8 °
2025-03-06 21:20:25,-28.8 °,-90.8 °
2025-03-06 21:20:45,-28.8 °,-90.8 °
2025-03-06 21:21:05,-28.8 °,-90.8 °
2025-03-06 21:21:25,-28.8 °,-90.8 °
2025-03-06 21:21:45,-28.8 °,-90.8 °
2025-03-06 21:22:05,-28.8 °,-90.8 °
2025-03-06 21:22:25,-28.8 °,-90.7 °
