sep=,
"_time","DERIVED_LEXI_DEC_J2000_rad","DERIVED_LEXI_RA_J2000_rad"
2025-03-05 22:50:24,-28.2 °,-103 °
2025-03-05 22:51:24,-28.2 °,-103 °
2025-03-05 22:51:46,-28.2 °,-103 °
2025-03-05 22:52:06,-28.2 °,-103 °
2025-03-05 22:52:26,-28.2 °,-103 °
2025-03-05 22:52:46,-28.2 °,-103 °
2025-03-05 22:53:06,-28.2 °,-103 °
2025-03-05 22:53:26,-28.2 °,-103 °
2025-03-05 22:53:46,-28.2 °,-103 °
2025-03-05 22:54:06,-28.2 °,-103 °
2025-03-05 22:54:26,-28.2 °,-103 °
2025-03-05 22:54:46,-28.2 °,-103 °
2025-03-05 22:55:06,-28.2 °,-103 °
2025-03-05 22:55:26,-28.2 °,-103 °
2025-03-05 22:55:46,-28.2 °,-103 °
2025-03-05 22:56:06,-28.2 °,-103 °
2025-03-05 22:56:26,-28.2 °,-103 °
2025-03-05 22:56:46,-28.2 °,-103 °
2025-03-05 22:57:06,-28.2 °,-103 °
2025-03-05 22:57:26,-28.2 °,-103 °
2025-03-05 22:57:46,-28.2 °,-103 °
2025-03-05 22:58:06,-28.2 °,-103 °
2025-03-05 22:58:26,-28.2 °,-103 °
2025-03-05 22:58:46,-28.2 °,-103 °
2025-03-05 22:59:06,-28.2 °,-103 °
2025-03-05 22:59:26,-28.2 °,-103 °
2025-03-05 22:59:46,-28.2 °,-103 °
2025-03-05 23:00:06,-28.2 °,-103 °
2025-03-05 23:00:26,-28.2 °,-103 °
2025-03-05 23:00:46,-28.2 °,-103 °
2025-03-05 23:01:06,-28.2 °,-103 °
2025-03-05 23:01:26,-28.2 °,-103 °
2025-03-05 23:01:46,-28.2 °,-103 °
2025-03-05 23:02:06,-28.2 °,-103 °
2025-03-05 23:02:26,-28.2 °,-103 °
2025-03-05 23:03:14,-28.2 °,-103 °
2025-03-05 23:03:34,-28.2 °,-103 °
2025-03-05 23:03:54,-28.2 °,-103 °
2025-03-05 23:04:14,-28.2 °,-103 °
2025-03-05 23:04:34,-28.2 °,-103 °
2025-03-05 23:04:54,-28.2 °,-103 °
2025-03-05 23:05:16,-28.2 °,-103 °
2025-03-05 23:05:36,-28.2 °,-103 °
2025-03-05 23:05:56,-28.2 °,-103 °
2025-03-05 23:06:16,-28.2 °,-103 °
2025-03-05 23:06:36,-28.2 °,-103 °
2025-03-05 23:06:56,-28.2 °,-103 °
2025-03-05 23:07:16,-28.2 °,-103 °
2025-03-05 23:07:36,-28.2 °,-103 °
2025-03-05 23:07:56,-28.2 °,-103 °
2025-03-05 23:08:16,-28.2 °,-103 °
2025-03-05 23:08:36,-28.2 °,-103 °
2025-03-05 23:08:56,-28.2 °,-103 °
2025-03-05 23:09:16,-28.2 °,-103 °
2025-03-05 23:09:36,-28.2 °,-103 °
2025-03-05 23:09:56,-28.2 °,-103 °
2025-03-05 23:10:16,-28.2 °,-103 °
2025-03-05 23:10:36,-28.2 °,-103 °
2025-03-05 23:10:56,-28.2 °,-103 °
2025-03-05 23:11:16,-28.2 °,-103 °
2025-03-05 23:11:36,-28.2 °,-103 °
2025-03-05 23:11:56,-28.2 °,-103 °
2025-03-05 23:12:16,-28.2 °,-103 °
2025-03-05 23:12:36,-28.2 °,-103 °
2025-03-05 23:12:56,-28.2 °,-103 °
2025-03-05 23:13:16,-28.2 °,-103 °
2025-03-05 23:13:46,-28.2 °,-103 °
2025-03-05 23:14:06,-28.2 °,-103 °
2025-03-05 23:14:26,-28.2 °,-103 °
2025-03-05 23:14:46,-28.2 °,-103 °
2025-03-05 23:15:06,-28.2 °,-103 °
2025-03-05 23:16:04,-28.2 °,-103 °
2025-03-05 23:16:26,-28.2 °,-103 °
2025-03-05 23:16:46,-28.2 °,-103 °
2025-03-05 23:17:26,-28.2 °,-103 °
2025-03-05 23:17:46,-28.2 °,-103 °
2025-03-05 23:18:06,-28.2 °,-103 °
2025-03-05 23:18:24,-28.2 °,-103 °
2025-03-05 23:18:46,-28.2 °,-103 °
2025-03-05 23:19:06,-28.2 °,-103 °
2025-03-05 23:19:26,-28.2 °,-103 °
2025-03-05 23:22:26,-28.2 °,-103 °
2025-03-05 23:22:46,-28.2 °,-103 °
2025-03-05 23:23:06,-28.2 °,-103 °
2025-03-05 23:23:26,-28.2 °,-103 °
2025-03-05 23:24:06,-28.2 °,-103 °
2025-03-05 23:24:26,-28.2 °,-103 °
2025-03-05 23:24:46,-28.2 °,-103 °
2025-03-05 23:25:06,-28.2 °,-103 °
2025-03-05 23:25:26,-28.2 °,-103 °
2025-03-05 23:25:46,-28.2 °,-103 °
2025-03-05 23:26:06,-28.2 °,-103 °
2025-03-05 23:26:26,-28.2 °,-103 °
2025-03-05 23:26:46,-28.2 °,-103 °
2025-03-05 23:27:06,-28.2 °,-103 °
2025-03-05 23:27:26,-28.2 °,-103 °
2025-03-05 23:27:46,-28.2 °,-103 °
2025-03-05 23:28:14,-28.2 °,-103 °
2025-03-05 23:28:26,-28.2 °,-103 °
2025-03-05 23:28:46,-28.2 °,-103 °
2025-03-05 23:29:14,-28.2 °,-103 °
2025-03-05 23:29:26,-28.2 °,-103 °
2025-03-05 23:29:54,-28.2 °,-103 °
2025-03-05 23:30:06,-28.2 °,-103 °
2025-03-05 23:30:34,-28.2 °,-103 °
2025-03-05 23:30:56,-28.2 °,-103 °
2025-03-05 23:31:16,-28.2 °,-103 °
2025-03-05 23:32:14,-28.2 °,-103 °
2025-03-05 23:32:36,-28.2 °,-103 °
2025-03-05 23:33:16,-28.2 °,-103 °
2025-03-05 23:33:36,-28.2 °,-103 °
2025-03-05 23:33:56,-28.2 °,-103 °
2025-03-05 23:35:16,-28.2 °,-103 °
2025-03-05 23:35:36,-28.2 °,-103 °
2025-03-05 23:35:56,-28.2 °,-103 °
2025-03-05 23:36:16,-28.2 °,-103 °
2025-03-05 23:36:36,-28.2 °,-103 °
2025-03-05 23:36:56,-28.2 °,-103 °
2025-03-05 23:37:16,-28.2 °,-103 °
2025-03-05 23:37:36,-28.2 °,-103 °
2025-03-05 23:37:56,-28.2 °,-103 °
2025-03-05 23:38:36,-28.2 °,-103 °
2025-03-05 23:40:36,-28.2 °,-103 °
2025-03-05 23:40:56,-28.2 °,-103 °
2025-03-05 23:41:16,-28.2 °,-103 °
2025-03-05 23:41:36,-28.2 °,-103 °
2025-03-05 23:41:56,-28.0 °,-102 °
2025-03-05 23:42:16,-27.7 °,-102 °
2025-03-05 23:42:36,-27.4 °,-101 °
2025-03-05 23:43:16,-21.3 °,-104 °
2025-03-05 23:43:36,-16.1 °,-106 °
2025-03-05 23:43:56,-10.7 °,-107 °
2025-03-05 23:44:16,-9.14 °,-107 °
2025-03-05 23:44:36,-11.0 °,-107 °
2025-03-05 23:51:46,-28.1 °,-105 °
2025-03-05 23:52:26,-28.1 °,-105 °
2025-03-05 23:52:46,-28.1 °,-105 °
2025-03-05 23:53:06,-28.1 °,-105 °
2025-03-05 23:53:46,-28.1 °,-105 °
2025-03-05 23:54:06,-28.1 °,-105 °
2025-03-05 23:54:26,-28.1 °,-105 °
2025-03-05 23:55:06,-28.1 °,-105 °
2025-03-05 23:55:26,-28.1 °,-105 °
2025-03-05 23:55:46,-28.1 °,-105 °
2025-03-05 23:56:26,-28.1 °,-105 °
2025-03-05 23:56:46,-28.1 °,-105 °
2025-03-05 23:57:06,-28.1 °,-105 °
2025-03-05 23:57:46,-28.1 °,-105 °
2025-03-05 23:58:06,-28.1 °,-105 °
2025-03-05 23:58:26,-28.1 °,-105 °
2025-03-05 23:59:06,-28.1 °,-105 °
2025-03-05 23:59:26,-28.1 °,-105 °
2025-03-06 00:08:36,-28.1 °,-105 °
2025-03-06 00:08:56,-28.1 °,-105 °
2025-03-06 00:09:16,-28.1 °,-105 °
2025-03-06 00:09:36,-28.1 °,-105 °
2025-03-06 00:09:56,-28.1 °,-105 °
2025-03-06 00:10:16,-28.1 °,-105 °
2025-03-06 00:10:36,-28.1 °,-105 °
2025-03-06 00:10:56,-28.1 °,-105 °
2025-03-06 00:11:16,-28.1 °,-105 °
2025-03-06 00:11:36,-28.1 °,-105 °
2025-03-06 00:11:56,-28.1 °,-105 °
2025-03-06 00:12:16,-28.1 °,-105 °
2025-03-06 00:12:36,-28.1 °,-105 °
2025-03-06 00:12:56,-28.1 °,-105 °
2025-03-06 00:13:16,-28.1 °,-105 °
2025-03-06 00:13:56,-28.1 °,-105 °
2025-03-06 00:14:16,-28.1 °,-105 °
2025-03-06 00:14:36,-28.1 °,-105 °
2025-03-06 00:15:16,-28.1 °,-105 °
2025-03-06 00:15:36,-28.1 °,-105 °
2025-03-06 00:15:56,-28.1 °,-105 °
2025-03-06 00:16:16,-28.1 °,-105 °
2025-03-06 00:16:36,-28.1 °,-105 °
2025-03-06 00:16:56,-28.1 °,-105 °
2025-03-06 00:28:26,-28.1 °,-104 °
2025-03-06 00:29:06,-28.1 °,-104 °
2025-03-06 00:29:46,-28.1 °,-104 °
2025-03-06 00:30:06,-28.1 °,-104 °
2025-03-06 00:30:26,-28.1 °,-104 °
2025-03-06 00:31:46,-28.1 °,-104 °
2025-03-06 00:32:26,-28.1 °,-104 °
2025-03-06 00:32:46,-28.1 °,-104 °
2025-03-06 00:33:06,-28.1 °,-104 °
2025-03-06 00:33:46,-28.1 °,-104 °
2025-03-06 00:34:06,-28.1 °,-104 °
2025-03-06 00:34:26,-28.1 °,-104 °
2025-03-06 00:35:06,-28.1 °,-104 °
2025-03-06 00:35:26,-28.1 °,-104 °
2025-03-06 00:35:46,-28.1 °,-104 °
2025-03-06 00:36:06,-28.1 °,-104 °
2025-03-06 00:36:26,-28.1 °,-104 °
2025-03-06 00:36:46,-28.1 °,-104 °
2025-03-06 00:37:06,-28.1 °,-104 °
2025-03-06 00:37:26,-28.1 °,-104 °
2025-03-06 00:37:46,-28.1 °,-104 °
2025-03-06 00:38:06,-28.1 °,-104 °
2025-03-06 00:38:26,-28.1 °,-104 °
2025-03-06 00:39:06,-28.1 °,-104 °
2025-03-06 00:42:34,-28.1 °,-104 °
2025-03-06 00:45:36,-28.1 °,-104 °
2025-03-06 00:47:36,-28.1 °,-104 °
2025-03-06 00:47:56,-28.1 °,-104 °
2025-03-06 00:48:16,-28.1 °,-104 °
2025-03-06 00:48:36,-28.1 °,-104 °
2025-03-06 00:48:56,-28.1 °,-104 °
2025-03-06 00:49:16,-28.1 °,-104 °
2025-03-06 00:49:36,-28.1 °,-104 °
2025-03-06 00:49:56,-28.1 °,-104 °
2025-03-06 00:50:16,-28.1 °,-104 °
2025-03-06 00:50:36,-28.1 °,-104 °
2025-03-06 00:50:56,-28.1 °,-104 °
2025-03-06 00:51:16,-28.1 °,-104 °
2025-03-06 00:51:36,-28.1 °,-104 °
2025-03-06 00:51:56,-28.1 °,-104 °
2025-03-06 00:52:16,-28.1 °,-104 °
2025-03-06 00:52:36,-28.1 °,-104 °
2025-03-06 00:52:56,-28.1 °,-104 °
2025-03-06 00:53:16,-28.1 °,-104 °
2025-03-06 00:53:36,-28.1 °,-104 °
2025-03-06 00:53:56,-28.1 °,-104 °
2025-03-06 00:54:16,-28.1 °,-104 °
2025-03-06 00:54:36,-28.1 °,-104 °
2025-03-06 00:54:56,-28.1 °,-104 °
2025-03-06 00:55:16,-28.1 °,-104 °
2025-03-06 00:55:36,-28.1 °,-104 °
2025-03-06 00:55:56,-28.1 °,-104 °
2025-03-06 00:56:16,-28.1 °,-104 °
2025-03-06 00:56:36,-28.1 °,-104 °
2025-03-06 00:56:56,-28.1 °,-104 °
2025-03-06 00:59:04,-28.2 °,-104 °
2025-03-06 01:01:26,-28.2 °,-104 °
2025-03-06 01:01:46,-28.2 °,-104 °
2025-03-06 01:02:06,-28.2 °,-104 °
2025-03-06 01:02:26,-28.2 °,-104 °
2025-03-06 01:03:26,-28.2 °,-104 °
2025-03-06 01:03:46,-28.2 °,-104 °
2025-03-06 01:04:06,-28.2 °,-104 °
2025-03-06 01:04:26,-28.2 °,-104 °
2025-03-06 01:04:46,-28.2 °,-104 °
2025-03-06 01:05:06,-28.2 °,-104 °
2025-03-06 01:05:26,-28.2 °,-104 °
2025-03-06 01:05:46,-28.2 °,-104 °
2025-03-06 01:06:06,-28.2 °,-104 °
2025-03-06 01:06:26,-28.2 °,-104 °
2025-03-06 01:06:46,-28.2 °,-104 °
2025-03-06 01:07:06,-28.2 °,-104 °
2025-03-06 01:07:26,-28.2 °,-104 °
2025-03-06 01:07:46,-28.2 °,-104 °
2025-03-06 01:08:06,-28.2 °,-104 °
2025-03-06 01:08:26,-28.2 °,-104 °
2025-03-06 01:08:46,-28.2 °,-104 °
2025-03-06 01:09:06,-28.2 °,-104 °
2025-03-06 01:09:26,-28.2 °,-104 °
2025-03-06 01:09:46,-28.2 °,-104 °
2025-03-06 01:12:14,-28.2 °,-104 °
2025-03-06 01:16:16,-28.2 °,-104 °
2025-03-06 01:16:36,-28.2 °,-104 °
2025-03-06 01:16:56,-28.2 °,-104 °
2025-03-06 01:17:16,-28.2 °,-104 °
2025-03-06 01:17:36,-28.2 °,-104 °
2025-03-06 01:17:56,-28.2 °,-104 °
2025-03-06 01:18:16,-28.2 °,-104 °
2025-03-06 01:18:36,-28.2 °,-104 °
2025-03-06 01:18:56,-28.2 °,-104 °
2025-03-06 01:19:16,-28.2 °,-104 °
2025-03-06 01:19:36,-28.2 °,-104 °
2025-03-06 01:19:56,-28.2 °,-104 °
2025-03-06 01:20:16,-28.2 °,-104 °
2025-03-06 01:20:36,-28.2 °,-104 °
2025-03-06 01:20:56,-28.2 °,-104 °
2025-03-06 01:21:16,-28.2 °,-104 °
2025-03-06 01:21:36,-28.2 °,-104 °
2025-03-06 01:21:56,-28.2 °,-104 °
2025-03-06 01:22:16,-28.2 °,-104 °
2025-03-06 01:22:36,-28.2 °,-104 °
2025-03-06 01:22:56,-28.2 °,-104 °
2025-03-06 01:23:16,-28.2 °,-104 °
2025-03-06 01:23:36,-28.2 °,-104 °
2025-03-06 01:23:56,-28.2 °,-104 °
2025-03-06 01:24:16,-28.2 °,-104 °
2025-03-06 01:24:36,-28.2 °,-104 °
2025-03-06 01:24:56,-28.2 °,-104 °
2025-03-06 01:35:06,-28.2 °,-104 °
2025-03-06 01:35:26,-28.2 °,-104 °
2025-03-06 01:35:46,-28.2 °,-104 °
2025-03-06 01:36:06,-28.2 °,-104 °
2025-03-06 01:36:26,-28.2 °,-104 °
2025-03-06 01:36:46,-28.2 °,-104 °
2025-03-06 01:37:06,-28.2 °,-104 °
2025-03-06 01:37:26,-28.2 °,-104 °
2025-03-06 01:37:46,-28.2 °,-104 °
2025-03-06 01:38:06,-28.2 °,-104 °
2025-03-06 01:38:26,-28.2 °,-104 °
2025-03-06 01:38:46,-28.2 °,-104 °
2025-03-06 01:39:06,-28.2 °,-104 °
2025-03-06 01:39:26,-28.2 °,-104 °
2025-03-06 01:39:46,-28.2 °,-104 °
2025-03-06 01:40:06,-28.2 °,-104 °
2025-03-06 01:40:26,-28.2 °,-104 °
2025-03-06 01:40:46,-28.2 °,-104 °
2025-03-06 01:41:06,-28.2 °,-104 °
2025-03-06 01:41:26,-28.2 °,-104 °
2025-03-06 01:41:46,-28.2 °,-104 °
2025-03-06 01:42:06,-28.2 °,-104 °
2025-03-06 01:42:26,-28.2 °,-104 °
2025-03-06 01:42:46,-28.2 °,-104 °
2025-03-06 01:43:06,-28.2 °,-104 °
2025-03-06 01:43:26,-28.2 °,-104 °
2025-03-06 01:43:46,-28.2 °,-104 °
2025-03-06 01:44:06,-28.2 °,-104 °
