sep=,
"_time","DERIVED_LEXI_DEC_J2000_rad","DERIVED_LEXI_RA_J2000_rad"
2025-03-06 11:00:56,-28.6 °,-97.5 °
2025-03-06 11:01:16,-28.6 °,-97.5 °
2025-03-06 11:01:36,-28.6 °,-97.5 °
2025-03-06 11:01:56,-28.6 °,-97.5 °
2025-03-06 11:02:16,-28.6 °,-97.5 °
2025-03-06 11:02:36,-28.6 °,-97.5 °
2025-03-06 11:03:16,-28.6 °,-97.5 °
2025-03-06 11:03:36,-28.6 °,-97.5 °
2025-03-06 11:03:56,-28.6 °,-97.5 °
2025-03-06 11:04:16,-28.6 °,-97.5 °
2025-03-06 11:04:36,-28.6 °,-97.5 °
2025-03-06 11:04:56,-28.6 °,-97.5 °
2025-03-06 11:05:16,-28.6 °,-97.5 °
2025-03-06 11:05:36,-28.6 °,-97.5 °
2025-03-06 11:05:56,-28.6 °,-97.5 °
2025-03-06 11:06:16,-28.6 °,-97.5 °
2025-03-06 11:06:36,-28.6 °,-97.5 °
2025-03-06 11:06:56,-28.6 °,-97.5 °
2025-03-06 11:07:16,-28.6 °,-97.5 °
2025-03-06 11:07:36,-28.6 °,-97.5 °
2025-03-06 11:07:56,-28.6 °,-97.5 °
2025-03-06 11:08:16,-28.6 °,-97.5 °
2025-03-06 11:08:36,-28.6 °,-97.5 °
2025-03-06 11:08:56,-28.6 °,-97.4 °
2025-03-06 11:09:16,-28.6 °,-97.4 °
2025-03-06 11:09:36,-28.6 °,-97.4 °
2025-03-06 11:09:56,-28.6 °,-97.4 °
2025-03-06 11:21:06,-28.7 °,-97.3 °
2025-03-06 11:22:26,-28.7 °,-97.3 °
2025-03-06 11:23:06,-28.7 °,-97.3 °
2025-03-06 11:23:26,-28.7 °,-97.3 °
2025-03-06 11:23:46,-28.7 °,-97.3 °
2025-03-06 11:24:26,-28.7 °,-97.3 °
2025-03-06 11:24:46,-28.7 °,-97.3 °
2025-03-06 11:25:06,-28.7 °,-97.2 °
2025-03-06 11:25:46,-28.7 °,-97.2 °
2025-03-06 11:26:06,-28.7 °,-97.2 °
2025-03-06 11:26:26,-28.7 °,-97.2 °
2025-03-06 11:27:06,-28.7 °,-97.2 °
2025-03-06 11:27:26,-28.7 °,-97.2 °
