sep=,
"_time","DERIVED_LEXI_DEC_J2000_rad","DERIVED_LEXI_RA_J2000_rad"
2025-03-04 10:54:14,-23.4 °,-129 °
2025-03-04 10:54:54,-23.4 °,-129 °
2025-03-04 10:55:14,-23.4 °,-129 °
2025-03-04 10:55:34,-23.4 °,-129 °
2025-03-04 10:55:54,-23.4 °,-129 °
2025-03-04 10:57:34,-23.4 °,-129 °
2025-03-04 10:57:54,-23.4 °,-129 °
2025-03-04 10:58:15,-23.4 °,-129 °
2025-03-04 10:58:35,-23.4 °,-129 °
2025-03-04 10:58:55,-23.4 °,-129 °
2025-03-04 11:03:15,-23.4 °,-129 °
2025-03-04 11:03:35,-23.4 °,-129 °
2025-03-04 11:03:57,-23.4 °,-129 °
2025-03-04 11:04:15,-23.4 °,-129 °
2025-03-04 11:04:37,-23.4 °,-129 °
2025-03-04 11:04:59,-23.4 °,-129 °
2025-03-04 11:05:17,-23.4 °,-129 °
2025-03-04 11:05:39,-23.4 °,-129 °
2025-03-04 11:05:59,-23.4 °,-129 °
2025-03-04 11:06:19,-23.4 °,-129 °
2025-03-04 11:06:39,-23.4 °,-129 °
2025-03-04 11:06:59,-23.4 °,-129 °
2025-03-04 11:07:19,-23.4 °,-129 °
2025-03-04 11:07:42,-23.4 °,-129 °
2025-03-04 11:08:02,-23.4 °,-128 °
2025-03-04 11:08:22,-23.4 °,-128 °
2025-03-04 11:08:42,-23.4 °,-128 °
2025-03-04 11:09:02,-23.4 °,-128 °
2025-03-04 11:09:22,-23.4 °,-128 °
2025-03-04 11:09:42,-23.4 °,-128 °
2025-03-04 11:10:02,-23.4 °,-128 °
2025-03-04 11:10:24,-23.4 °,-128 °
2025-03-04 11:10:44,-23.4 °,-128 °
2025-03-04 11:11:02,-23.4 °,-128 °
2025-03-04 11:11:24,-23.4 °,-128 °
2025-03-04 11:11:45,-23.4 °,-128 °
2025-03-04 11:12:04,-23.4 °,-128 °
2025-03-04 11:12:24,-23.4 °,-128 °
2025-03-04 11:12:44,-23.4 °,-128 °
2025-03-04 11:13:04,-23.4 °,-128 °
2025-03-04 11:13:24,-23.4 °,-128 °
2025-03-04 11:13:44,-23.4 °,-128 °
2025-03-04 11:14:04,-23.4 °,-128 °
2025-03-04 11:14:24,-23.4 °,-128 °
2025-03-04 11:14:44,-23.4 °,-128 °
2025-03-04 11:15:04,-23.4 °,-128 °
2025-03-04 11:15:24,-23.4 °,-128 °
2025-03-04 11:15:44,-23.4 °,-128 °
2025-03-04 11:16:04,-23.4 °,-128 °
2025-03-04 11:16:24,-23.4 °,-128 °
2025-03-04 11:16:44,-23.5 °,-128 °
2025-03-04 11:17:04,-23.5 °,-128 °
2025-03-04 11:17:24,-23.5 °,-128 °
2025-03-04 11:17:44,-23.5 °,-128 °
2025-03-04 11:18:07,-23.5 °,-128 °
2025-03-04 11:18:29,-23.5 °,-128 °
2025-03-04 11:18:47,-23.5 °,-128 °
2025-03-04 11:19:09,-23.5 °,-128 °
2025-03-04 11:19:29,-23.5 °,-128 °
2025-03-04 11:19:47,-23.5 °,-128 °
2025-03-04 11:20:09,-23.5 °,-128 °
2025-03-04 11:20:29,-23.5 °,-128 °
2025-03-04 11:20:47,-23.5 °,-128 °
2025-03-04 11:21:12,-23.5 °,-128 °
2025-03-04 11:21:32,-23.5 °,-128 °
2025-03-04 11:21:47,-23.5 °,-128 °
2025-03-04 11:22:12,-23.5 °,-128 °
2025-03-04 11:22:32,-23.5 °,-128 °
2025-03-04 11:22:49,-23.5 °,-128 °
2025-03-04 11:23:12,-23.5 °,-128 °
2025-03-04 11:23:32,-23.5 °,-128 °
2025-03-04 11:23:47,-23.5 °,-128 °
2025-03-04 11:26:34,-23.5 °,-128 °
2025-03-04 11:26:54,-23.5 °,-128 °
2025-03-04 11:27:14,-23.5 °,-128 °
2025-03-04 11:27:34,-23.5 °,-128 °
2025-03-04 11:50:22,-23.5 °,-128 °
2025-03-04 11:51:43,-23.5 °,-128 °
2025-03-04 11:52:23,-23.5 °,-128 °
2025-03-04 11:52:43,-23.5 °,-128 °
2025-03-04 11:53:03,-23.5 °,-128 °
2025-03-04 11:53:23,-23.5 °,-128 °
2025-03-04 11:53:43,-23.5 °,-128 °
2025-03-04 11:57:04,-23.5 °,-128 °
2025-03-04 11:57:24,-23.5 °,-128 °
2025-03-04 11:57:44,-23.5 °,-128 °
2025-03-04 11:58:04,-23.5 °,-128 °
2025-03-04 11:58:24,-23.5 °,-128 °
2025-03-04 11:58:44,-23.5 °,-128 °
2025-03-04 11:59:04,-23.5 °,-128 °
2025-03-04 11:59:24,-23.6 °,-128 °
2025-03-04 11:59:44,-23.6 °,-128 °
2025-03-04 12:00:04,-23.6 °,-128 °
2025-03-04 12:00:24,-23.6 °,-128 °
2025-03-04 12:00:44,-23.6 °,-128 °
