sep=,
"_time","DERIVED_LEXI_DEC_J2000_rad","DERIVED_LEXI_RA_J2000_rad"
2025-03-04 22:50:00,-25.3 °,-121 °
2025-03-04 22:50:20,-25.3 °,-121 °
2025-03-04 22:50:40,-25.3 °,-121 °
2025-03-04 22:51:00,-25.3 °,-121 °
2025-03-04 22:51:20,-25.3 °,-121 °
2025-03-04 22:51:40,-25.3 °,-121 °
2025-03-04 22:52:00,-25.3 °,-121 °
2025-03-04 22:52:22,-25.3 °,-121 °
2025-03-04 22:52:42,-25.3 °,-121 °
2025-03-04 22:53:02,-25.3 °,-121 °
2025-03-04 22:53:24,-25.3 °,-121 °
2025-03-04 22:53:44,-25.3 °,-121 °
2025-03-04 22:54:04,-25.3 °,-121 °
2025-03-04 22:54:24,-25.3 °,-121 °
2025-03-04 22:54:44,-25.3 °,-121 °
2025-03-04 22:55:04,-25.3 °,-121 °
2025-03-04 22:55:24,-25.3 °,-121 °
2025-03-04 22:55:44,-25.3 °,-121 °
2025-03-04 22:56:07,-25.3 °,-121 °
2025-03-04 22:56:24,-25.3 °,-121 °
2025-03-04 22:56:47,-25.4 °,-121 °
2025-03-04 22:57:07,-25.4 °,-121 °
2025-03-04 22:57:27,-25.4 °,-121 °
2025-03-04 22:57:47,-25.4 °,-121 °
2025-03-04 22:58:07,-25.4 °,-121 °
2025-03-04 22:58:27,-25.4 °,-121 °
2025-03-04 22:58:47,-25.4 °,-121 °
2025-03-04 22:59:07,-25.4 °,-121 °
2025-03-04 22:59:27,-25.4 °,-121 °
2025-03-04 22:59:49,-25.4 °,-121 °
2025-03-04 23:00:09,-25.4 °,-121 °
2025-03-04 23:00:29,-25.4 °,-121 °
2025-03-04 23:00:49,-25.4 °,-121 °
2025-03-04 23:01:09,-25.4 °,-121 °
2025-03-04 23:01:29,-25.4 °,-121 °
2025-03-04 23:01:49,-25.4 °,-121 °
2025-03-04 23:02:09,-25.4 °,-121 °
2025-03-04 23:02:29,-25.4 °,-121 °
2025-03-04 23:02:49,-25.4 °,-121 °
2025-03-04 23:03:09,-25.4 °,-121 °
2025-03-04 23:03:29,-25.4 °,-121 °
2025-03-04 23:03:49,-25.4 °,-121 °
2025-03-04 23:04:12,-25.4 °,-121 °
2025-03-04 23:04:29,-25.4 °,-121 °
2025-03-04 23:04:52,-25.4 °,-121 °
2025-03-04 23:05:12,-25.4 °,-121 °
2025-03-04 23:05:32,-25.4 °,-121 °
2025-03-04 23:05:54,-25.4 °,-121 °
2025-03-04 23:06:14,-25.4 °,-121 °
2025-03-04 23:06:34,-25.4 °,-121 °
2025-03-04 23:06:54,-25.4 °,-121 °
2025-03-04 23:07:14,-25.4 °,-121 °
2025-03-04 23:07:34,-25.4 °,-121 °
2025-03-04 23:07:54,-25.4 °,-121 °
2025-03-04 23:08:14,-25.4 °,-121 °
2025-03-04 23:08:34,-25.4 °,-121 °
2025-03-04 23:08:54,-25.4 °,-121 °
2025-03-04 23:43:48,-25.4 °,-121 °
2025-03-04 23:44:08,-25.4 °,-121 °
2025-03-04 23:44:28,-25.4 °,-121 °
2025-03-04 23:44:48,-25.4 °,-121 °
2025-03-04 23:45:08,-25.4 °,-121 °
2025-03-04 23:45:28,-25.4 °,-121 °
2025-03-04 23:45:49,-25.4 °,-121 °
2025-03-04 23:46:09,-25.4 °,-120 °
2025-03-04 23:46:29,-25.4 °,-120 °
2025-03-04 23:46:49,-25.4 °,-120 °
2025-03-04 23:47:09,-25.4 °,-120 °
2025-03-04 23:47:29,-25.5 °,-120 °
2025-03-04 23:47:49,-25.5 °,-120 °
2025-03-04 23:48:09,-25.5 °,-120 °
2025-03-04 23:48:29,-25.5 °,-120 °
2025-03-04 23:48:49,-25.5 °,-120 °
