sep=,
"_time","DERIVED_LEXI_DEC_J2000_rad","DERIVED_LEXI_RA_J2000_rad"
2025-03-05 10:53:48,-26.9 °,-113 °
2025-03-05 11:41:47,-27.0 °,-113 °
2025-03-05 11:45:47,-27.0 °,-113 °
2025-03-05 11:49:47,-27.0 °,-113 °
2025-03-05 16:39:25,-27.5 °,-110 °
2025-03-05 16:43:27,-27.5 °,-110 °
2025-03-05 16:47:28,-27.5 °,-109 °
2025-03-05 16:50:57,-27.5 °,-109 °
2025-03-05 16:51:17,-27.5 °,-109 °
2025-03-05 16:51:37,-27.5 °,-109 °
2025-03-05 16:51:57,-27.5 °,-109 °
2025-03-05 16:52:17,-27.5 °,-109 °
2025-03-05 16:52:37,-27.5 °,-109 °
2025-03-05 16:52:57,-27.5 °,-109 °
2025-03-05 16:53:17,-27.5 °,-109 °
2025-03-05 16:53:37,-27.5 °,-109 °
2025-03-05 16:53:57,-27.5 °,-109 °
2025-03-05 16:54:17,-27.5 °,-109 °
2025-03-05 16:54:37,-27.5 °,-109 °
2025-03-05 16:54:57,-27.5 °,-109 °
2025-03-05 16:55:17,-27.5 °,-109 °
2025-03-05 16:55:46,-27.5 °,-109 °
2025-03-05 16:56:06,-27.5 °,-109 °
2025-03-05 16:56:26,-27.5 °,-109 °
2025-03-05 16:56:37,-27.5 °,-109 °
2025-03-05 16:57:06,-27.5 °,-109 °
2025-03-05 16:57:26,-27.5 °,-109 °
2025-03-05 16:57:47,-27.5 °,-109 °
2025-03-05 16:58:07,-27.5 °,-109 °
2025-03-05 16:58:27,-27.5 °,-109 °
2025-03-05 16:58:47,-27.5 °,-109 °
2025-03-05 16:59:07,-27.5 °,-109 °
2025-03-05 16:59:27,-27.5 °,-109 °
2025-03-05 16:59:47,-27.5 °,-109 °
2025-03-05 17:00:07,-27.5 °,-109 °
2025-03-05 17:00:27,-27.5 °,-109 °
2025-03-05 17:00:47,-27.5 °,-109 °
2025-03-05 17:01:07,-27.5 °,-109 °
2025-03-05 17:01:27,-27.5 °,-109 °
2025-03-05 17:01:47,-27.5 °,-109 °
2025-03-05 17:02:07,-27.5 °,-109 °
2025-03-05 17:02:27,-27.5 °,-109 °
2025-03-05 17:02:47,-27.5 °,-109 °
2025-03-05 17:03:07,-27.5 °,-109 °
2025-03-05 17:03:27,-27.5 °,-109 °
2025-03-05 17:03:47,-27.5 °,-109 °
2025-03-05 17:04:07,-27.5 °,-109 °
2025-03-05 17:04:27,-27.5 °,-109 °
2025-03-05 17:04:47,-27.5 °,-109 °
2025-03-05 17:05:07,-27.5 °,-109 °
2025-03-05 17:05:27,-27.5 °,-109 °
2025-03-05 17:05:47,-27.5 °,-109 °
2025-03-05 17:06:07,-27.5 °,-109 °
2025-03-05 17:06:27,-27.5 °,-109 °
2025-03-05 17:06:47,-27.5 °,-109 °
2025-03-05 17:07:07,-27.5 °,-109 °
2025-03-05 17:07:27,-27.5 °,-109 °
2025-03-05 17:07:47,-27.5 °,-109 °
2025-03-05 17:08:07,-27.5 °,-109 °
2025-03-05 17:08:27,-27.5 °,-109 °
2025-03-05 17:08:47,-27.5 °,-109 °
2025-03-05 17:09:16,-27.5 °,-109 °
2025-03-05 17:09:36,-27.5 °,-109 °
2025-03-05 17:09:56,-27.5 °,-109 °
2025-03-05 17:10:16,-27.5 °,-109 °
2025-03-05 17:10:36,-27.5 °,-109 °
2025-03-05 17:10:57,-27.5 °,-109 °
2025-03-05 17:11:16,-27.5 °,-109 °
2025-03-05 17:11:37,-27.5 °,-109 °
2025-03-05 17:11:57,-27.5 °,-109 °
2025-03-05 17:12:17,-27.5 °,-109 °
2025-03-05 17:12:37,-27.5 °,-109 °
2025-03-05 17:12:57,-27.5 °,-109 °
2025-03-05 17:13:17,-27.5 °,-109 °
2025-03-05 17:13:37,-27.5 °,-109 °
2025-03-05 17:13:57,-27.5 °,-109 °
2025-03-05 17:14:17,-27.5 °,-109 °
2025-03-05 17:14:37,-27.5 °,-109 °
2025-03-05 17:14:57,-27.5 °,-109 °
2025-03-05 17:15:17,-27.5 °,-109 °
2025-03-05 17:15:37,-27.5 °,-109 °
2025-03-05 17:15:57,-27.5 °,-109 °
2025-03-05 17:16:17,-27.5 °,-109 °
2025-03-05 17:16:37,-27.5 °,-109 °
2025-03-05 17:16:57,-27.5 °,-109 °
2025-03-05 17:17:17,-27.5 °,-109 °
2025-03-05 17:17:37,-27.5 °,-109 °
2025-03-05 17:17:57,-27.5 °,-109 °
2025-03-05 17:18:17,-27.5 °,-109 °
2025-03-05 17:18:37,-27.5 °,-109 °
2025-03-05 17:18:57,-27.5 °,-109 °
2025-03-05 17:19:17,-27.5 °,-109 °
2025-03-05 17:19:37,-27.5 °,-109 °
2025-03-05 17:19:57,-27.5 °,-109 °
2025-03-05 17:20:26,-27.5 °,-109 °
2025-03-05 17:20:37,-27.5 °,-109 °
2025-03-05 17:21:06,-27.5 °,-109 °
2025-03-05 17:21:26,-27.5 °,-109 °
2025-03-05 17:21:46,-27.5 °,-109 °
2025-03-05 17:22:06,-27.5 °,-109 °
2025-03-05 17:22:27,-27.5 °,-109 °
2025-03-05 17:22:47,-27.5 °,-109 °
2025-03-05 17:23:07,-27.5 °,-109 °
2025-03-05 17:23:27,-27.5 °,-109 °
2025-03-05 17:23:47,-27.5 °,-109 °
2025-03-05 17:24:07,-27.5 °,-109 °
2025-03-05 17:24:27,-27.5 °,-109 °
2025-03-05 17:24:47,-27.5 °,-109 °
2025-03-05 17:25:07,-27.5 °,-109 °
2025-03-05 17:25:27,-27.5 °,-109 °
2025-03-05 17:25:47,-27.5 °,-109 °
2025-03-05 17:26:07,-27.5 °,-109 °
2025-03-05 17:26:27,-27.5 °,-109 °
2025-03-05 17:26:47,-27.5 °,-109 °
2025-03-05 17:27:07,-27.5 °,-109 °
2025-03-05 17:27:27,-27.5 °,-109 °
2025-03-05 17:27:47,-27.5 °,-109 °
2025-03-05 17:28:07,-27.5 °,-109 °
2025-03-05 17:28:27,-27.5 °,-109 °
2025-03-05 17:28:47,-27.5 °,-109 °
2025-03-05 17:29:07,-27.5 °,-109 °
2025-03-05 17:29:27,-27.5 °,-109 °
2025-03-05 17:29:47,-27.5 °,-109 °
2025-03-05 17:30:07,-27.5 °,-109 °
2025-03-05 17:30:27,-27.5 °,-109 °
2025-03-05 17:30:47,-27.5 °,-109 °
2025-03-05 17:31:07,-27.5 °,-109 °
2025-03-05 17:31:36,-27.5 °,-109 °
2025-03-05 17:31:56,-27.5 °,-109 °
2025-03-05 17:32:16,-27.5 °,-109 °
2025-03-05 17:32:36,-27.5 °,-109 °
2025-03-05 17:32:56,-27.5 °,-109 °
2025-03-05 17:33:16,-27.5 °,-109 °
2025-03-05 17:33:36,-27.5 °,-109 °
2025-03-05 17:33:56,-27.5 °,-109 °
2025-03-05 17:34:16,-27.5 °,-109 °
2025-03-05 17:34:37,-27.6 °,-109 °
2025-03-05 17:34:57,-27.6 °,-109 °
2025-03-05 17:35:17,-27.6 °,-109 °
2025-03-05 17:35:37,-27.6 °,-109 °
2025-03-05 17:35:57,-27.6 °,-109 °
2025-03-05 17:36:17,-27.6 °,-109 °
