sep=,
"_time","DERIVED_LEXI_DEC_J2000_rad","DERIVED_LEXI_RA_J2000_rad"
2024-12-12 20:16:55,-0.695 °,-178 °
2024-12-12 20:21:22,-0.710 °,-178 °
2024-12-12 20:25:38,-0.725 °,-178 °
2024-12-12 21:40:55,-0.981 °,-177 °
2024-12-12 21:41:53,-0.984 °,-177 °
2024-12-12 21:42:15,-0.986 °,-177 °
2024-12-12 21:42:35,-0.987 °,-177 °
2024-12-12 21:42:55,-0.988 °,-177 °
2024-12-12 21:43:15,-0.989 °,-177 °
2024-12-12 21:43:35,-0.990 °,-177 °
2024-12-12 21:43:55,-0.991 °,-177 °
2024-12-12 21:44:18,-0.993 °,-177 °
2024-12-12 21:44:38,-0.994 °,-177 °
2024-12-12 21:44:58,-0.995 °,-177 °
2024-12-12 21:45:18,-0.996 °,-177 °
2024-12-12 21:45:37,-0.997 °,-177 °
2024-12-12 21:45:58,-0.998 °,-177 °
2024-12-12 21:46:18,-0.999 °,-177 °
2024-12-12 21:46:38,-1.00 °,-177 °
2024-12-12 21:46:58,-1.00 °,-177 °
2024-12-12 21:47:21,-1.00 °,-177 °
2024-12-12 21:47:41,-1.00 °,-177 °
2024-12-12 21:48:02,-1.01 °,-177 °
2024-12-12 21:48:21,-1.01 °,-177 °
2024-12-12 21:48:41,-1.01 °,-177 °
2024-12-12 21:49:33,-1.01 °,-177 °
2024-12-12 21:49:53,-1.01 °,-177 °
2024-12-12 21:50:13,-1.01 °,-177 °
2024-12-12 21:50:33,-1.01 °,-177 °
2024-12-12 21:50:53,-1.02 °,-177 °
2024-12-12 21:51:13,-1.02 °,-177 °
2024-12-12 21:51:33,-1.02 °,-177 °
2024-12-12 21:51:55,-1.02 °,-177 °
2024-12-12 21:52:16,-1.02 °,-177 °
2024-12-12 21:52:36,-1.02 °,-177 °
2024-12-12 21:52:56,-1.02 °,-177 °
2024-12-12 21:53:16,-1.02 °,-177 °
2024-12-12 21:53:36,-1.02 °,-177 °
2024-12-12 21:53:56,-1.03 °,-177 °
2024-12-12 21:54:18,-1.03 °,-177 °
2024-12-12 21:54:38,-1.03 °,-177 °
