sep=,
"Time","raw"
2024-12-11 22:00:27,-0.999
2024-12-11 22:00:47,-0.999
2024-12-11 22:01:07,-0.999
2024-12-11 22:01:32,-0.999
2024-12-11 22:01:52,-0.999
2024-12-11 22:02:12,-0.999
2024-12-11 22:02:34,-0.999
2024-12-11 22:02:54,-0.999
2024-12-11 22:03:17,-0.999
2024-12-11 22:03:37,-0.999
2024-12-11 22:04:01,-0.999
2024-12-11 22:04:20,-0.999
2024-12-11 22:04:41,-0.999
2024-12-11 22:05:02,-0.999
2024-12-11 22:05:24,-0.999
2024-12-11 22:05:44,-0.999
2024-12-11 22:06:04,-0.999
2024-12-11 22:06:24,-0.999
2024-12-11 22:06:44,-0.999
2024-12-11 22:07:04,-0.999
2024-12-11 22:07:27,-0.999
2024-12-11 22:07:47,-0.998
2024-12-11 22:08:07,-0.998
2024-12-11 22:08:27,-0.998
2024-12-11 22:08:47,-0.998
2024-12-11 22:09:07,-0.998
2024-12-11 22:09:27,-0.998
2024-12-11 22:09:47,-0.998
2024-12-11 22:10:07,-0.998
2024-12-11 22:10:30,-0.998
2024-12-11 22:10:50,-0.998
2024-12-11 22:11:11,-0.998
2024-12-11 22:11:32,-0.998
2024-12-11 22:11:52,-0.998
2024-12-11 22:12:12,-0.998
2024-12-11 22:12:32,-0.998
2024-12-11 22:12:52,-0.998
2024-12-11 22:13:14,-0.998
2024-12-11 22:13:34,-0.998
2024-12-11 22:13:55,-0.998
2024-12-11 22:14:14,-0.998
2024-12-11 22:14:34,-0.998
2024-12-11 22:14:55,-0.998
2024-12-11 22:15:17,-0.998
2024-12-11 22:15:37,-0.998
2024-12-11 22:15:57,-0.998
2024-12-11 22:16:17,-0.998
2024-12-11 22:16:37,-0.998
2024-12-11 22:16:57,-0.998
2024-12-11 22:17:17,-0.998
2024-12-11 22:17:37,-0.998
2024-12-11 22:17:57,-0.998
2024-12-11 22:18:20,-0.998
2024-12-11 22:18:42,-0.998
2024-12-11 22:19:02,-0.998
2024-12-11 22:19:22,-0.998
2024-12-11 22:19:42,-0.998
2024-12-11 22:20:02,-0.998
2024-12-11 22:20:24,-0.998
2024-12-11 22:20:44,-0.998
2024-12-11 22:21:04,-0.998
2024-12-11 22:21:24,-0.998
2024-12-11 22:21:44,-0.998
2024-12-11 22:22:07,-0.998
2024-12-11 22:22:27,-0.998
2024-12-11 22:22:47,-0.998
2024-12-11 22:23:07,-0.998
2024-12-11 22:23:27,-0.998
2024-12-11 22:23:50,-0.998
2024-12-11 22:24:11,-0.998
2024-12-11 22:24:31,-0.998
2024-12-11 22:24:52,-0.998
2024-12-11 22:25:12,-0.998
2024-12-11 22:25:32,-0.998
2024-12-11 22:25:54,-0.998
2024-12-11 22:26:17,-0.998
2024-12-11 22:26:37,-0.998
2024-12-11 22:26:57,-0.998
2024-12-11 22:27:17,-0.998
2024-12-11 22:27:37,-0.998
2024-12-11 22:27:57,-0.998
2024-12-11 22:28:17,-0.998
2024-12-11 22:28:41,-0.998
2024-12-11 22:29:01,-0.998
2024-12-11 22:29:21,-0.998
2024-12-11 22:29:42,-0.998
2024-12-11 22:30:02,-0.998
2024-12-11 22:30:22,-0.998
2024-12-11 22:30:42,-0.998
2024-12-11 22:31:02,-0.998
2024-12-11 22:31:24,-0.998
2024-12-11 22:31:44,-0.998
2024-12-11 22:32:04,-0.998
2024-12-11 22:32:24,-0.998
2024-12-11 22:32:44,-0.998
2024-12-11 22:33:07,-0.998
2024-12-11 22:33:27,-0.998
2024-12-11 22:33:48,-0.998
2024-12-11 22:34:07,-0.998
2024-12-11 22:34:30,-0.998
2024-12-11 22:34:52,-0.998
2024-12-11 22:35:14,-0.998
2024-12-11 22:35:35,-0.998
2024-12-11 22:36:00,-0.998
2024-12-11 22:36:22,-0.998
2024-12-11 22:36:42,-0.998
2024-12-11 22:37:02,-0.998
2024-12-11 22:37:22,-0.998
2024-12-11 22:37:42,-0.998
2024-12-11 22:38:04,-0.998
2024-12-11 22:38:34,-0.998
2024-12-11 22:38:54,-0.998
2024-12-11 22:39:14,-0.998
2024-12-11 22:39:34,-0.998
2024-12-11 22:39:54,-0.998
2024-12-11 22:40:18,-0.998
2024-12-11 22:40:38,-0.998
2024-12-11 22:40:58,-0.998
2024-12-11 22:41:18,-0.998
2024-12-11 22:41:38,-0.998
2024-12-11 22:42:00,-0.998
2024-12-11 22:42:20,-0.998
2024-12-11 22:42:42,-0.998
2024-12-11 22:43:02,-0.998
2024-12-11 22:43:22,-0.998
2024-12-11 22:43:44,-0.998
2024-12-11 22:44:07,-0.998
2024-12-11 22:44:27,-0.998
2024-12-11 22:44:50,-0.998
2024-12-11 22:45:11,-0.998
2024-12-11 22:45:32,-0.998
2024-12-11 22:45:52,-0.998
2024-12-11 22:46:14,-0.998
2024-12-11 22:46:34,-0.998
2024-12-11 22:46:54,-0.998
2024-12-11 22:47:14,-0.998
2024-12-11 22:47:37,-0.998
2024-12-11 22:47:57,-0.998
2024-12-11 22:48:19,-0.998
2024-12-11 22:48:40,-0.998
2024-12-11 22:49:02,-0.998
2024-12-11 22:49:22,-0.998
2024-12-11 22:49:45,-0.998
2024-12-11 22:50:04,-0.998
2024-12-11 22:50:27,-0.998
2024-12-11 22:50:47,-0.998
2024-12-11 22:51:07,-0.998
2024-12-11 22:51:27,-0.998
2024-12-11 22:51:47,-0.998
2024-12-11 22:52:07,-0.998
2024-12-11 22:52:32,-0.998
2024-12-11 22:52:52,-0.998
2024-12-11 22:53:12,-0.998
2024-12-11 22:53:32,-0.998
2024-12-11 22:53:52,-0.998
2024-12-11 22:54:14,-0.998
2024-12-11 22:54:34,-0.998
2024-12-11 22:54:54,-0.998
2024-12-11 22:55:14,-0.998
2024-12-11 22:55:34,-0.998
2024-12-11 22:56:00,-0.998
2024-12-11 22:56:20,-0.998
2024-12-11 22:56:42,-0.998
2024-12-11 22:57:02,-0.998
2024-12-11 22:57:22,-0.998
2024-12-11 22:57:42,-0.396
2024-12-11 22:58:02,-0.396
2024-12-11 22:58:22,-0.396
2024-12-11 22:58:44,-0.396
2024-12-11 22:59:04,-0.396
2024-12-11 22:59:24,-0.396
2024-12-11 22:59:44,-0.396
2024-12-11 23:00:07,-0.396
2024-12-11 23:00:27,-0.396
2024-12-11 23:00:47,-0.396
2024-12-11 23:01:07,-0.396
2024-12-11 23:01:31,-0.396
2024-12-11 23:01:50,-0.396
2024-12-11 23:02:11,-0.396
2024-12-11 23:02:31,-0.396
2024-12-11 23:02:52,-0.396
2024-12-11 23:03:12,-0.396
2024-12-11 23:03:32,-0.396
2024-12-11 23:03:55,-0.395
2024-12-11 23:04:17,-0.395
2024-12-11 23:04:37,-0.395
2024-12-11 23:04:57,-0.395
2024-12-11 23:05:17,-0.395
2024-12-11 23:05:37,-0.395
2024-12-11 23:05:57,-0.395
2024-12-11 23:06:17,-0.395
2024-12-11 23:06:41,-0.395
2024-12-11 23:07:00,-0.395
2024-12-11 23:07:20,-0.395
2024-12-11 23:07:42,-0.395
2024-12-11 23:08:02,-0.395
2024-12-11 23:08:22,-0.395
2024-12-11 23:08:42,-0.395
2024-12-11 23:09:07,-0.395
2024-12-11 23:09:27,-0.395
2024-12-11 23:09:47,-0.395
2024-12-11 23:10:07,-0.395
2024-12-11 23:10:27,-0.395
2024-12-11 23:10:52,-0.395
2024-12-11 23:11:12,-0.395
