sep=,
"Time","LEXI AZ CMD","LEXI AZ Measure","LEXI EL CMD","LEXI EL Measure"
2024-12-12 19:53:38,45.0 °,0 °,-45.0 °,0 °
2024-12-12 19:53:58,45.0 °,0 °,-45.0 °,0 °
2024-12-12 19:54:18,45.0 °,0 °,-45.0 °,0 °
2024-12-12 19:54:38,45.0 °,0 °,-45.0 °,0 °
2024-12-12 19:54:58,45.0 °,0 °,-45.0 °,0 °
2024-12-12 19:55:18,45.0 °,0 °,-45.0 °,0 °
2024-12-12 19:55:38,45.0 °,0 °,-45.0 °,0 °
2024-12-12 19:55:58,45.0 °,0 °,-45.0 °,0 °
2024-12-12 19:56:18,45.0 °,0 °,-45.0 °,0 °
2024-12-12 19:56:38,45.0 °,0 °,-45.0 °,0 °
2024-12-12 19:56:58,45.0 °,0 °,-45.0 °,0 °
2024-12-12 19:57:18,45.0 °,0 °,-45.0 °,0 °
2024-12-12 19:57:38,45.0 °,0 °,-45.0 °,0 °
2024-12-12 19:57:59,45.0 °,0 °,-45.0 °,0 °
2024-12-12 19:58:18,45.0 °,0 °,-45.0 °,0 °
2024-12-12 19:58:38,45.0 °,0 °,-45.0 °,0 °
2024-12-12 19:58:59,45.0 °,0 °,-45.0 °,0 °
2024-12-12 19:59:18,45.0 °,0 °,-45.0 °,0 °
2024-12-12 19:59:39,45.0 °,0 °,-45.0 °,0 °
2024-12-12 19:59:59,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:00:19,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:00:39,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:00:59,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:01:19,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:01:39,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:01:59,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:02:19,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:02:39,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:02:59,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:03:19,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:03:39,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:03:59,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:04:19,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:04:39,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:04:59,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:05:20,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:05:39,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:05:59,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:06:20,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:06:39,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:07:00,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:07:19,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:07:40,45.0 °,0 °,-45.0 °,0 °
2024-12-12 20:08:00,45.0 °,0 °,-45.0 °,0 °
