sep=,
"Time","raw"
2024-12-12 20:16:55,-0.999
2024-12-12 20:21:22,-0.999
2024-12-12 20:25:38,-0.999
2024-12-12 21:40:55,-0.999
2024-12-12 21:41:53,-0.999
2024-12-12 21:42:15,-0.999
2024-12-12 21:42:35,-0.999
2024-12-12 21:42:55,-0.999
2024-12-12 21:43:15,-0.999
2024-12-12 21:43:35,-0.999
2024-12-12 21:43:55,-0.999
2024-12-12 21:44:18,-0.999
2024-12-12 21:44:38,-0.999
2024-12-12 21:44:58,-0.999
2024-12-12 21:45:18,-0.999
2024-12-12 21:45:37,-0.999
2024-12-12 21:45:58,-0.999
2024-12-12 21:46:18,-0.999
2024-12-12 21:46:38,-0.999
2024-12-12 21:46:58,-0.999
2024-12-12 21:47:21,-0.999
2024-12-12 21:47:41,-0.999
2024-12-12 21:48:02,-0.999
2024-12-12 21:48:21,-0.999
2024-12-12 21:48:41,-0.999
2024-12-12 21:49:33,-0.999
2024-12-12 21:49:53,-0.999
2024-12-12 21:50:13,-0.999
2024-12-12 21:50:33,-0.999
2024-12-12 21:50:53,-0.999
2024-12-12 21:51:13,-0.999
2024-12-12 21:51:33,-0.999
2024-12-12 21:51:55,-0.999
2024-12-12 21:52:16,-0.999
2024-12-12 21:52:36,-0.999
2024-12-12 21:52:56,-0.999
2024-12-12 21:53:16,-0.999
2024-12-12 21:53:36,-0.999
2024-12-12 21:53:56,-0.999
2024-12-12 21:54:18,-0.999
2024-12-12 21:54:38,-0.999
2024-12-12 21:54:58,-0.999
2024-12-12 21:55:18,-0.999
2024-12-12 21:55:38,-0.999
2024-12-12 21:55:58,-0.999
2024-12-12 21:56:18,-0.999
2024-12-12 21:56:38,-0.999
2024-12-12 21:56:58,-0.999
2024-12-12 21:57:18,-0.999
2024-12-12 21:57:41,-0.999
2024-12-12 21:57:58,-0.999
2024-12-12 21:58:23,-0.999
2024-12-12 21:58:45,-0.999
2024-12-12 21:59:05,-0.999
2024-12-12 21:59:25,-0.999
2024-12-12 21:59:45,-0.999
2024-12-12 22:00:05,-0.999
2024-12-12 22:00:25,-0.999
2024-12-12 22:00:48,-0.999
2024-12-12 22:01:08,-0.999
2024-12-12 22:01:28,-0.999
2024-12-12 22:01:48,-0.999
2024-12-12 22:02:08,-0.999
2024-12-12 22:02:28,-0.999
2024-12-12 22:02:48,-0.999
2024-12-12 22:03:08,-0.999
2024-12-12 22:03:28,-0.999
2024-12-12 22:03:48,-0.999
2024-12-12 22:04:11,-0.999
2024-12-12 22:04:28,-0.999
2024-12-12 22:04:51,-0.999
2024-12-12 22:05:11,-0.999
2024-12-12 22:05:32,-0.999
2024-12-12 22:05:53,-0.999
2024-12-12 22:06:13,-0.999
2024-12-12 22:06:35,-0.999
2024-12-12 22:06:55,-0.999
2024-12-12 22:07:15,-0.999
2024-12-12 22:07:35,-0.999
2024-12-12 22:07:55,-0.999
2024-12-12 22:08:18,-0.999
2024-12-12 22:08:38,-0.999
2024-12-12 22:08:58,-0.999
2024-12-12 22:09:18,-0.999
2024-12-12 22:09:38,-0.999
2024-12-12 22:09:58,-0.999
2024-12-12 22:10:18,-0.999
2024-12-12 22:10:38,-0.999
2024-12-12 22:10:58,-0.999
2024-12-12 22:11:18,-0.999
2024-12-12 22:11:41,-0.999
2024-12-12 22:11:58,-0.998
2024-12-12 22:12:21,-0.998
2024-12-12 22:12:41,-0.998
2024-12-12 22:13:02,-0.998
2024-12-12 22:13:21,-0.998
2024-12-12 22:13:43,-0.998
2024-12-12 22:14:03,-0.998
2024-12-12 22:14:23,-0.998
2024-12-12 22:14:43,-0.998
2024-12-12 22:15:03,-0.998
2024-12-12 22:15:23,-0.998
2024-12-12 22:15:43,-0.998
2024-12-12 22:16:03,-0.998
2024-12-12 22:16:25,-0.998
2024-12-12 22:16:45,-0.998
2024-12-12 22:17:05,-0.998
2024-12-12 22:17:25,-0.998
2024-12-12 22:17:46,-0.998
2024-12-12 22:18:05,-0.998
2024-12-12 22:18:25,-0.998
2024-12-12 22:18:46,-0.998
2024-12-12 22:19:08,-0.998
2024-12-12 22:19:28,-0.998
2024-12-12 22:19:48,-0.998
2024-12-12 22:20:08,-0.998
2024-12-12 22:20:28,-0.998
2024-12-12 22:20:48,-0.998
2024-12-12 22:21:08,-0.998
2024-12-12 22:21:28,-0.998
2024-12-12 22:21:48,-0.998
2024-12-12 22:22:08,-0.998
2024-12-12 22:22:28,-0.998
2024-12-12 22:22:48,-0.998
2024-12-12 22:23:11,-0.998
2024-12-12 22:23:28,-0.998
2024-12-12 22:23:51,-0.998
2024-12-12 22:24:11,-0.998
2024-12-12 22:24:32,-0.998
2024-12-12 22:24:51,-0.998
2024-12-12 22:25:11,-0.998
2024-12-12 22:25:33,-0.998
2024-12-12 22:25:53,-0.998
2024-12-12 22:26:13,-0.998
2024-12-12 22:26:33,-0.998
2024-12-12 22:26:53,-0.998
2024-12-12 22:27:13,-0.998
2024-12-12 22:27:33,-0.998
2024-12-12 22:27:53,-0.998
2024-12-12 22:28:15,-0.998
2024-12-12 22:28:35,-0.998
2024-12-12 22:28:56,-0.998
2024-12-12 22:29:15,-0.998
2024-12-12 22:29:35,-0.998
2024-12-12 22:29:55,-0.998
2024-12-12 22:30:15,-0.998
2024-12-12 22:30:38,-0.998
2024-12-12 22:30:55,-0.998
2024-12-12 22:31:18,-0.998
2024-12-12 22:31:38,-0.998
2024-12-12 22:31:58,-0.998
2024-12-12 22:32:18,-0.998
2024-12-12 22:32:38,-0.998
2024-12-12 22:32:58,-0.998
2024-12-12 22:33:18,-0.998
2024-12-12 22:33:38,-0.998
2024-12-12 22:33:58,-0.998
2024-12-12 22:34:18,-0.998
2024-12-12 22:34:41,-0.998
2024-12-12 22:34:58,-0.998
2024-12-12 22:35:21,-0.998
2024-12-12 22:35:42,-0.998
2024-12-12 22:36:02,-0.998
2024-12-12 22:36:22,-0.998
2024-12-12 22:36:43,-0.998
2024-12-12 22:37:03,-0.998
2024-12-12 22:37:23,-0.998
2024-12-12 22:37:43,-0.998
2024-12-12 22:38:03,-0.998
2024-12-12 22:38:23,-0.998
2024-12-12 22:38:43,-0.998
2024-12-12 22:39:03,-0.998
2024-12-12 22:39:25,-0.998
2024-12-12 22:39:45,-0.998
2024-12-12 22:40:05,-0.998
2024-12-12 22:40:25,-0.998
2024-12-12 22:40:45,-0.998
2024-12-12 22:41:05,-0.998
2024-12-12 22:41:28,-0.998
2024-12-12 22:41:48,-0.998
2024-12-12 22:42:08,-0.998
2024-12-12 22:42:28,-0.998
2024-12-12 22:42:48,-0.998
2024-12-12 22:43:08,-0.998
2024-12-12 22:43:28,-0.998
2024-12-12 22:43:48,-0.998
2024-12-12 22:44:08,-0.998
2024-12-12 22:44:28,-0.998
2024-12-12 22:44:51,-0.998
2024-12-12 22:45:11,-0.998
2024-12-12 22:45:32,-0.998
2024-12-12 22:45:51,-0.998
2024-12-12 22:46:13,-0.998
2024-12-12 22:46:33,-0.998
2024-12-12 22:46:53,-0.998
2024-12-12 22:47:13,-0.998
2024-12-12 22:47:33,-0.998
2024-12-12 22:47:53,-0.998
2024-12-12 22:48:13,-0.998
2024-12-12 22:48:33,-0.998
2024-12-12 22:48:53,-0.998
2024-12-12 22:49:15,-0.998
2024-12-12 22:49:36,-0.998
2024-12-12 22:49:55,-0.998
2024-12-12 22:50:15,-0.998
2024-12-12 22:50:36,-0.998
2024-12-12 22:50:55,-0.998
2024-12-12 22:51:15,-0.998
2024-12-12 22:51:35,-0.998
2024-12-12 22:51:55,-0.998
2024-12-12 22:52:18,-0.998
2024-12-12 22:52:38,-0.998
2024-12-12 22:52:58,-0.998
2024-12-12 22:53:18,-0.998
2024-12-12 22:53:38,-0.998
2024-12-12 22:53:58,-0.998
2024-12-12 22:54:18,-0.998
