sep=,
"Time","LEXI AZ CMD","LEXI AZ Measure","LEXI EL CMD","LEXI EL Measure"
2024-12-12 18:42:07,45.0 °,0 °,-45.0 °,0 °
2024-12-12 18:42:27,45.0 °,0 °,-45.0 °,0 °
2024-12-12 18:42:47,45.0 °,0 °,-45.0 °,0 °
2024-12-12 18:43:07,45.0 °,0 °,-45.0 °,0 °
2024-12-12 18:43:27,45.0 °,0 °,-45.0 °,0 °
2024-12-12 18:43:47,45.0 °,0 °,-45.0 °,0 °
2024-12-12 18:44:07,45.0 °,0 °,-45.0 °,0 °
2024-12-12 18:44:27,45.0 °,0 °,-45.0 °,0 °
2024-12-12 18:44:47,45.0 °,0 °,-45.0 °,0 °
2024-12-12 18:45:07,45.0 °,0 °,-45.0 °,0 °
2024-12-12 18:45:27,45.0 °,0 °,-45.0 °,0 °
2024-12-12 18:45:47,45.0 °,0 °,-45.0 °,0 °
2024-12-12 18:46:08,45.0 °,0 °,-45.0 °,0 °
2024-12-12 18:46:27,45.0 °,0 °,-45.0 °,0 °
2024-12-12 18:46:48,45.0 °,0 °,-45.0 °,0 °
2024-12-12 18:47:08,45.0 °,0 °,-45.0 °,0 °
2024-12-12 18:47:28,45.0 °,0 °,-45.0 °,0 °
2024-12-12 18:47:48,45.0 °,0 °,-45.0 °,0 °
2024-12-12 18:48:08,45.0 °,0 °,-45.0 °,0 °
2024-12-12 18:48:28,45.0 °,0 °,-45.0 °,0 °
2024-12-12 18:48:48,45.0 °,0 °,-45.0 °,0 °
2024-12-12 18:49:08,45.0 °,0 °,-45.0 °,0 °
2024-12-12 18:49:28,45.0 °,0 °,-45.0 °,0 °
2024-12-12 18:49:48,45.0 °,0 °,-45.0 °,0 °
2024-12-12 18:50:08,45.0 °,0 °,-45.0 °,0 °
2024-12-12 18:50:28,45.0 °,0 °,-45.0 °,0 °
2024-12-12 18:50:48,45.0 °,0 °,-45.0 °,0 °
2024-12-12 18:51:08,45.0 °,0 °,-45.0 °,0 °
2024-12-12 18:51:28,45.0 °,0 °,-45.0 °,0 °
