sep=,
"_time","DERIVED_LEXI_DEC_J2000_rad","DERIVED_LEXI_RA_J2000_rad"
2024-12-11 22:00:27,-1.06 °,-177 °
2024-12-11 22:00:47,-1.06 °,-177 °
2024-12-11 22:01:07,-1.06 °,-177 °
2024-12-11 22:01:32,-1.07 °,-177 °
2024-12-11 22:01:52,-1.07 °,-177 °
2024-12-11 22:02:12,-1.07 °,-177 °
2024-12-11 22:02:34,-1.07 °,-177 °
2024-12-11 22:02:54,-1.07 °,-177 °
2024-12-11 22:03:17,-1.07 °,-177 °
2024-12-11 22:03:37,-1.07 °,-177 °
2024-12-11 22:04:01,-1.07 °,-177 °
2024-12-11 22:04:20,-1.07 °,-177 °
2024-12-11 22:04:41,-1.08 °,-177 °
2024-12-11 22:05:02,-1.08 °,-177 °
2024-12-11 22:05:24,-1.08 °,-177 °
2024-12-11 22:05:44,-1.08 °,-177 °
2024-12-11 22:06:04,-1.08 °,-177 °
2024-12-11 22:06:24,-1.08 °,-177 °
2024-12-11 22:06:44,-1.08 °,-177 °
2024-12-11 22:07:04,-1.08 °,-177 °
2024-12-11 22:07:27,-1.09 °,-177 °
2024-12-11 22:07:47,-1.09 °,-177 °
2024-12-11 22:08:07,-1.09 °,-177 °
2024-12-11 22:08:27,-1.09 °,-177 °
2024-12-11 22:08:47,-1.09 °,-177 °
2024-12-11 22:09:07,-1.09 °,-177 °
2024-12-11 22:09:27,-1.09 °,-177 °
2024-12-11 22:09:47,-1.09 °,-177 °
2024-12-11 22:10:07,-1.09 °,-177 °
2024-12-11 22:10:30,-1.10 °,-177 °
2024-12-11 22:10:50,-1.10 °,-177 °
2024-12-11 22:11:11,-1.10 °,-177 °
2024-12-11 22:11:32,-1.10 °,-177 °
2024-12-11 22:11:52,-1.10 °,-177 °
2024-12-11 22:12:12,-1.10 °,-177 °
2024-12-11 22:12:32,-1.10 °,-177 °
2024-12-11 22:12:52,-1.10 °,-177 °
2024-12-11 22:13:14,-1.11 °,-177 °
2024-12-11 22:13:34,-1.11 °,-177 °
2024-12-11 22:13:55,-1.11 °,-177 °
2024-12-11 22:14:14,-1.11 °,-177 °
2024-12-11 22:14:34,-1.11 °,-177 °
2024-12-11 22:14:55,-1.11 °,-177 °
2024-12-11 22:15:17,-1.11 °,-177 °
2024-12-11 22:15:37,-1.11 °,-177 °
2024-12-11 22:15:57,-1.11 °,-177 °
2024-12-11 22:16:17,-1.12 °,-177 °
2024-12-11 22:16:37,-1.12 °,-177 °
2024-12-11 22:16:57,-1.12 °,-177 °
2024-12-11 22:17:17,-1.12 °,-177 °
2024-12-11 22:17:37,-1.12 °,-177 °
2024-12-11 22:17:57,-1.12 °,-177 °
2024-12-11 22:18:20,-1.12 °,-177 °
2024-12-11 22:18:42,-1.12 °,-177 °
